condition,weight,icd_version,icd_code
myocardial_infarction,1,9,410
myocardial_infarction,1,9,411
myocardial_infarction,1,9,412
congestive_heart_failure,1,9,39891
congestive_heart_failure,1,9,40201
congestive_heart_failure,1,9,40211
congestive_heart_failure,1,9,40291
congestive_heart_failure,1,9,40401
congestive_heart_failure,1,9,40403
congestive_heart_failure,1,9,40411
congestive_heart_failure,1,9,40413
congestive_heart_failure,1,9,40491
congestive_heart_failure,1,9,40493
congestive_heart_failure,1,9,4254
congestive_heart_failure,1,9,4255
congestive_heart_failure,1,9,4257
congestive_heart_failure,1,9,4258
congestive_heart_failure,1,9,4259
congestive_heart_failure,1,9,428
peripheral_vascular_disease,1,9,0930
peripheral_vascular_disease,1,9,4373
peripheral_vascular_disease,1,9,440
peripheral_vascular_disease,1,9,441
peripheral_vascular_disease,1,9,4431
peripheral_vascular_disease,1,9,4432
peripheral_vascular_disease,1,9,4438
peripheral_vascular_disease,1,9,4439
peripheral_vascular_disease,1,9,4471
peripheral_vascular_disease,1,9,5571
peripheral_vascular_disease,1,9,5579
peripheral_vascular_disease,1,9,V434
cerebrovascular_disease,1,9,36234
cerebrovascular_disease,1,9,430
cerebrovascular_disease,1,9,431
cerebrovascular_disease,1,9,432
cerebrovascular_disease,1,9,433
cerebrovascular_disease,1,9,434
cerebrovascular_disease,1,9,435
cerebrovascular_disease,1,9,436
cerebrovascular_disease,1,9,437
cerebrovascular_disease,1,9,438
dementia,1,9,290
dementia,1,9,2941
dementia,1,9,3312
chronic_pulmonary_disease,1,9,4168
chronic_pulmonary_disease,1,9,4169
chronic_pulmonary_disease,1,9,490
chronic_pulmonary_disease,1,9,491
chronic_pulmonary_disease,1,9,492
chronic_pulmonary_disease,1,9,493
chronic_pulmonary_disease,1,9,494
chronic_pulmonary_disease,1,9,495
chronic_pulmonary_disease,1,9,496
chronic_pulmonary_disease,1,9,500
chronic_pulmonary_disease,1,9,501
chronic_pulmonary_disease,1,9,502
chronic_pulmonary_disease,1,9,503
chronic_pulmonary_disease,1,9,504
chronic_pulmonary_disease,1,9,505
chronic_pulmonary_disease,1,9,5064
chronic_pulmonary_disease,1,9,5081
chronic_pulmonary_disease,1,9,5088
rheumatologic_disease,1,9,4465
rheumatologic_disease,1,9,7100
rheumatologic_disease,1,9,7101
rheumatologic_disease,1,9,7102
rheumatologic_disease,1,9,7103
rheumatologic_disease,1,9,7104
rheumatologic_disease,1,9,7140
rheumatologic_disease,1,9,7141
rheumatologic_disease,1,9,7142
rheumatologic_disease,1,9,7148
rheumatologic_disease,1,9,725
peptic_ulcer_disease,1,9,531
peptic_ulcer_disease,1,9,532
peptic_ulcer_disease,1,9,533
peptic_ulcer_disease,1,9,534
mild_liver_disease,1,9,07022
mild_liver_disease,1,9,07023
mild_liver_disease,1,9,07032
mild_liver_disease,1,9,07033
mild_liver_disease,1,9,07044
mild_liver_disease,1,9,07054
mild_liver_disease,1,9,0706
mild_liver_disease,1,9,0709
mild_liver_disease,1,9,5710
mild_liver_disease,1,9,5712
mild_liver_disease,1,9,5713
mild_liver_disease,1,9,57140
mild_liver_disease,1,9,57141
mild_liver_disease,1,9,57149
mild_liver_disease,1,9,5715
mild_liver_disease,1,9,5716
mild_liver_disease,1,9,5718
mild_liver_disease,1,9,5719
mild_liver_disease,1,9,5723
mild_liver_disease,1,9,5728
mild_liver_disease,1,9,5733
mild_liver_disease,1,9,5734
mild_liver_disease,1,9,5738
mild_liver_disease,1,9,5739
mild_liver_disease,1,9,V427
diabetes_without_complications,1,9,2500
diabetes_without_complications,1,9,2501
diabetes_without_complications,1,9,2502
diabetes_without_complications,1,9,2503
diabetes_without_complications,1,9,2508
diabetes_without_complications,1,9,2509
diabetes_with_complications,2,9,2504
diabetes_with_complications,2,9,2505
diabetes_with_complications,2,9,2506
diabetes_with_complications,2,9,2507
hemiplegia_paraplegia,2,9,3341
hemiplegia_paraplegia,2,9,342
hemiplegia_paraplegia,2,9,343
hemiplegia_paraplegia,2,9,3440
hemiplegia_paraplegia,2,9,3441
hemiplegia_paraplegia,2,9,3442
hemiplegia_paraplegia,2,9,3443
hemiplegia_paraplegia,2,9,3444
hemiplegia_paraplegia,2,9,3445
hemiplegia_paraplegia,2,9,3446
hemiplegia_paraplegia,2,9,3449
renal_disease,2,9,40301
renal_disease,2,9,40311
renal_disease,2,9,40391
renal_disease,2,9,40402
renal_disease,2,9,40412
renal_disease,2,9,40492
renal_disease,2,9,585
renal_disease,2,9,586
renal_disease,2,9,5880
renal_disease,2,9,V420
renal_disease,2,9,V451
renal_disease,2,9,V56
malignancy,2,9,140
malignancy,2,9,141
malignancy,2,9,142
malignancy,2,9,143
malignancy,2,9,144
malignancy,2,9,145
malignancy,2,9,146
malignancy,2,9,147
malignancy,2,9,148
malignancy,2,9,149
malignancy,2,9,150
malignancy,2,9,151
malignancy,2,9,152
malignancy,2,9,153
malignancy,2,9,154
malignancy,2,9,155
malignancy,2,9,156
malignancy,2,9,157
malignancy,2,9,158
malignancy,2,9,159
malignancy,2,9,160
malignancy,2,9,161
malignancy,2,9,162
malignancy,2,9,163
malignancy,2,9,164
malignancy,2,9,165
malignancy,2,9,170
malignancy,2,9,171
malignancy,2,9,172
malignancy,2,9,174
malignancy,2,9,175
malignancy,2,9,176
malignancy,2,9,179
malignancy,2,9,180
malignancy,2,9,181
malignancy,2,9,182
malignancy,2,9,183
malignancy,2,9,184
malignancy,2,9,185
malignancy,2,9,186
malignancy,2,9,187
malignancy,2,9,188
malignancy,2,9,189
malignancy,2,9,190
malignancy,2,9,191
malignancy,2,9,192
malignancy,2,9,193
malignancy,2,9,194
malignancy,2,9,195
malignancy,2,9,200
malignancy,2,9,201
malignancy,2,9,202
malignancy,2,9,203
malignancy,2,9,204
malignancy,2,9,205
malignancy,2,9,206
malignancy,2,9,207
malignancy,2,9,208
malignancy,2,9,2386
moderate_severe_liver_disease,2,9,4560
moderate_severe_liver_disease,2,9,4561
moderate_severe_liver_disease,2,9,4562
