Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id,Variant,Seed,Test_Time_s,n_features,pos_rate
BiGRU,SW,Sequence Only,0.4198,0.6119,0.0306,0.0299,0.7727,0.0575,23.0,25.5,0f50fb19f263c430,collapse,1,,,
BiGRU,SW,Sequence + Tabular,0.7639,0.8428,0.1005,0.0743,0.8117,0.1361,32.0,37.6,0f50fb19f263c430,collapse,1,,,
BiGRU,SW,Sequence Only,0.3086,0.621,0.031,0.0288,0.8896,0.0557,11.0,12.3,0f50fb19f263c430,collapse,2,,,
BiGRU,SW,Sequence + Tabular,0.7457,0.8449,0.1066,0.0712,0.8377,0.1312,24.0,28.1,0f50fb19f263c430,collapse,2,,,
BiGRU,SW,Sequence Only,0.4582,0.6203,0.0309,0.0311,0.75,0.0597,18.0,19.7,0f50fb19f263c430,collapse,3,,,
BiGRU,SW,Sequence + Tabular,0.7658,0.8386,0.1068,0.0728,0.7857,0.1333,20.0,23.6,0f50fb19f263c430,collapse,3,,,
BiGRU,SW,Sequence Only,0.3295,0.6195,0.0308,0.029,0.8701,0.0562,16.0,17.6,0f50fb19f263c430,collapse,4,,,
BiGRU,SW,Sequence + Tabular,0.7784,0.8394,0.1084,0.077,0.789,0.1403,30.0,34.9,0f50fb19f263c430,collapse,4,,,
BiGRU,SW,Sequence Only,0.4207,0.613,0.0307,0.03,0.776,0.0579,32.0,34.8,0f50fb19f263c430,collapse,42,,,
BiGRU,SW,Sequence + Tabular,0.7314,0.8428,0.1076,0.0671,0.8312,0.1242,17.0,19.8,0f50fb19f263c430,collapse,42,,,
BiGRU,SW,Sequence Only,0.4004,0.5566,0.0892,0.0865,0.7078,0.1541,18.0,20.3,0f50fb19f263c430,corr,1,,,
BiGRU,SW,Sequence + Tabular,0.7962,0.8258,0.2596,0.2296,0.6962,0.3453,24.0,28.2,0f50fb19f263c430,corr,1,,,
BiGRU,SW,Sequence Only,0.4397,0.5522,0.0872,0.0871,0.6606,0.1539,12.0,13.7,0f50fb19f263c430,corr,2,,,
BiGRU,SW,Sequence + Tabular,0.8166,0.8292,0.2631,0.2464,0.6692,0.3602,31.0,36.2,0f50fb19f263c430,corr,2,,,
