,,,,AUROC,AUROC,AUROC,AUPRC,AUPRC,AUPRC,F1,F1,F1
,,,,mean,std,count,mean,std,count,mean,std,count
Model,Cohort,Condition,Variant,,,,,,,,,
BiGRU,ICU,Sequence + Tabular,lat,0.7875,0.0019,5,0.3825,0.0025,5,0.3862,0.0091,5
BiGRU,ICU,Sequence + Tabular,old,0.8098,0.0024,5,0.5259,0.0026,5,0.4812,0.0044,5
BiGRU,ICU,Sequence + Tabular,restricted,0.7892,0.001,5,0.4405,0.0009,5,0.4312,0.0059,5
BiGRU,ICU,Sequence Only,lat,0.5358,0.0048,5,0.1278,0.0012,5,0.2093,0.0241,5
BiGRU,ICU,Sequence Only,old,0.5333,0.0025,5,0.1629,0.001,5,0.2559,0.0256,5
BiGRU,ICU,Sequence Only,restricted,0.5442,0.0004,5,0.1557,0.0015,5,0.2547,0.0007,5
BiGRU,SW,Sequence + Tabular,collapse,0.8417,0.0026,5,0.106,0.0031,5,0.133,0.006,5
BiGRU,SW,Sequence + Tabular,corr,0.8302,0.0048,5,0.2647,0.0054,5,0.3532,0.007,5
BiGRU,SW,Sequence + Tabular,corrpacu,0.8321,0.0034,5,0.3142,0.0092,5,0.388,0.0195,5
BiGRU,SW,Sequence + Tabular,lat,0.8937,0.0017,5,0.6069,0.0049,5,0.4978,0.0087,5
BiGRU,SW,Sequence + Tabular,old,0.8787,0.0017,5,0.614,0.0031,5,0.5593,0.004,5
BiGRU,SW,Sequence + Tabular,restricted,0.8066,0.0016,5,0.8053,0.0021,5,0.6975,0.0053,5
BiGRU,SW,Sequence Only,collapse,0.6171,0.0043,5,0.0308,0.0002,5,0.0574,0.0016,5
BiGRU,SW,Sequence Only,corr,0.5535,0.0022,5,0.0883,0.0012,5,0.1541,0.0005,5
BiGRU,SW,Sequence Only,corrpacu,0.5634,0.0015,5,0.1069,0.0014,5,0.184,0.0016,5
BiGRU,SW,Sequence Only,lat,0.6925,0.0014,5,0.3582,0.0023,5,0.4437,0.0123,5
BiGRU,SW,Sequence Only,old,0.6463,0.0036,5,0.3287,0.0076,5,0.3666,0.0023,5
BiGRU,SW,Sequence Only,restricted,0.6954,0.0014,5,0.6376,0.0024,5,0.6052,0.0056,5
BiLSTM,ICU,Sequence + Tabular,lat,0.7884,0.0031,5,0.3839,0.0032,5,0.3896,0.0065,5
BiLSTM,ICU,Sequence + Tabular,old,0.8113,0.0012,5,0.526,0.0011,5,0.4874,0.0094,5
BiLSTM,ICU,Sequence + Tabular,restricted,0.7898,0.001,5,0.4386,0.0008,5,0.4326,0.0095,5
BiLSTM,ICU,Sequence Only,lat,0.5333,0.0047,5,0.1268,0.001,5,0.2148,0.0117,5
BiLSTM,ICU,Sequence Only,old,0.5349,0.0028,5,0.1633,0.0014,5,0.256,0.0293,5
BiLSTM,ICU,Sequence Only,restricted,0.5479,0.0041,5,0.1566,0.0025,5,0.2542,0.0002,5
BiLSTM,SW,Sequence + Tabular,collapse,0.8426,0.0026,5,0.1055,0.0031,5,0.1204,0.0039,5
BiLSTM,SW,Sequence + Tabular,corr,0.8314,0.0014,5,0.2672,0.0033,5,0.3549,0.0061,5
BiLSTM,SW,Sequence + Tabular,corrpacu,0.8323,0.0013,5,0.3125,0.004,5,0.3901,0.0076,5
BiLSTM,SW,Sequence + Tabular,lat,0.8932,0.0025,5,0.6037,0.0024,5,0.4897,0.0074,5
BiLSTM,SW,Sequence + Tabular,old,0.8796,0.0012,5,0.6136,0.0018,5,0.5561,0.0039,5
BiLSTM,SW,Sequence + Tabular,restricted,0.8059,0.0009,5,0.8038,0.0015,5,0.7028,0.0044,5
