Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Train_Time_s,Test_Time_s,n_features,pos_rate,Seed,split_id
LR,SW,No Process,0.5296,0.5795,0.0273,0.0275,0.5682,0.0525,0.114,0.004,59,0.0223,42,0f50fb19f263c430
RF,SW,No Process,0.977,0.5454,0.0321,0.0,0.0,0.0,1.433,0.047,59,0.0223,42,0f50fb19f263c430
GB,SW,No Process,0.5707,0.5849,0.0404,0.028,0.526,0.0532,8.356,0.015,59,0.0223,42,0f50fb19f263c430
KNN,SW,No Process,0.9769,0.5147,0.0238,0.0,0.0,0.0,0.008,2.884,59,0.0223,42,0f50fb19f263c430
LR,SW,No Process,0.5296,0.5795,0.0273,0.0275,0.5682,0.0525,0.116,0.004,59,0.0223,1,0f50fb19f263c430
RF,SW,No Process,0.977,0.5634,0.0363,0.0,0.0,0.0,1.404,0.046,59,0.0223,1,0f50fb19f263c430
GB,SW,No Process,0.5707,0.5849,0.0404,0.028,0.526,0.0532,8.38,0.015,59,0.0223,1,0f50fb19f263c430
KNN,SW,No Process,0.9769,0.5147,0.0238,0.0,0.0,0.0,0.008,1.219,59,0.0223,1,0f50fb19f263c430
LR,SW,No Process,0.5296,0.5795,0.0273,0.0275,0.5682,0.0525,0.111,0.004,59,0.0223,2,0f50fb19f263c430
RF,SW,No Process,0.977,0.5534,0.0329,0.0,0.0,0.0,1.381,0.047,59,0.0223,2,0f50fb19f263c430
GB,SW,No Process,0.5707,0.5849,0.0404,0.028,0.526,0.0532,8.383,0.015,59,0.0223,2,0f50fb19f263c430
KNN,SW,No Process,0.9769,0.5147,0.0238,0.0,0.0,0.0,0.008,1.216,59,0.0223,2,0f50fb19f263c430
LR,SW,No Process,0.5296,0.5795,0.0273,0.0275,0.5682,0.0525,0.111,0.004,59,0.0223,3,0f50fb19f263c430
RF,SW,No Process,0.977,0.5787,0.033,0.0,0.0,0.0,1.416,0.047,59,0.0223,3,0f50fb19f263c430
GB,SW,No Process,0.5707,0.5849,0.0404,0.028,0.526,0.0532,8.442,0.015,59,0.0223,3,0f50fb19f263c430
KNN,SW,No Process,0.9769,0.5147,0.0238,0.0,0.0,0.0,0.009,1.492,59,0.0223,3,0f50fb19f263c430
LR,SW,No Process,0.5296,0.5795,0.0273,0.0275,0.5682,0.0525,0.13,0.004,59,0.0223,4,0f50fb19f263c430
RF,SW,No Process,0.977,0.5655,0.0329,0.0,0.0,0.0,1.452,0.057,59,0.0223,4,0f50fb19f263c430
GB,SW,No Process,0.5707,0.5849,0.0404,0.028,0.526,0.0532,8.423,0.016,59,0.0223,4,0f50fb19f263c430
KNN,SW,No Process,0.9769,0.5147,0.0238,0.0,0.0,0.0,0.008,1.185,59,0.0223,4,0f50fb19f263c430
LR,SW,With Process,0.7389,0.8485,0.1001,0.0717,0.8701,0.1325,0.212,0.005,76,0.0223,42,0f50fb19f263c430
RF,SW,With Process,0.977,0.8762,0.1452,0.0,0.0,0.0,1.448,0.047,76,0.0223,42,0f50fb19f263c430
GB,SW,With Process,0.854,0.8879,0.1604,0.1168,0.8182,0.2044,13.485,0.018,76,0.0223,42,0f50fb19f263c430
KNN,SW,With Process,0.9767,0.5227,0.0244,0.0,0.0,0.0,0.01,1.378,76,0.0223,42,0f50fb19f263c430
LR,SW,With Process,0.7389,0.8485,0.1001,0.0717,0.8701,0.1325,0.205,0.005,76,0.0223,1,0f50fb19f263c430
RF,SW,With Process,0.977,0.8653,0.1393,0.0,0.0,0.0,1.43,0.047,76,0.0223,1,0f50fb19f263c430
GB,SW,With Process,0.8539,0.8878,0.1604,0.1167,0.8182,0.2043,13.483,0.019,76,0.0223,1,0f50fb19f263c430
KNN,SW,With Process,0.9767,0.5227,0.0244,0.0,0.0,0.0,0.011,1.314,76,0.0223,1,0f50fb19f263c430
LR,SW,With Process,0.7389,0.8485,0.1001,0.0717,0.8701,0.1325,0.209,0.005,76,0.0223,2,0f50fb19f263c430
RF,SW,With Process,0.977,0.8637,0.136,0.0,0.0,0.0,1.477,0.047,76,0.0223,2,0f50fb19f263c430
GB,SW,With Process,0.8539,0.8876,0.1604,0.1167,0.8182,0.2043,13.481,0.018,76,0.0223,2,0f50fb19f263c430
KNN,SW,With Process,0.9767,0.5227,0.0244,0.0,0.0,0.0,0.009,1.351,76,0.0223,2,0f50fb19f263c430
LR,SW,With Process,0.7389,0.8485,0.1001,0.0717,0.8701,0.1325,0.205,0.005,76,0.0223,3,0f50fb19f263c430
RF,SW,With Process,0.9771,0.8718,0.1393,0.0,0.0,0.0,1.42,0.036,76,0.0223,3,0f50fb19f263c430
GB,SW,With Process,0.8539,0.8879,0.1604,0.1167,0.8182,0.2043,13.412,0.02,76,0.0223,3,0f50fb19f263c430
KNN,SW,With Process,0.9767,0.5227,0.0244,0.0,0.0,0.0,0.01,1.364,76,0.0223,3,0f50fb19f263c430
LR,SW,With Process,0.7389,0.8485,0.1001,0.0717,0.8701,0.1325,0.206,0.005,76,0.0223,4,0f50fb19f263c430
RF,SW,With Process,0.977,0.8639,0.1409,0.0,0.0,0.0,1.414,0.047,76,0.0223,4,0f50fb19f263c430
GB,SW,With Process,0.8539,0.8876,0.1604,0.1167,0.8182,0.2043,13.444,0.018,76,0.0223,4,0f50fb19f263c430
KNN,SW,With Process,0.9767,0.5227,0.0244,0.0,0.0,0.0,0.009,1.36,76,0.0223,4,0f50fb19f263c430
LR,SW,With BoW,0.7576,0.8374,0.1176,0.0732,0.8214,0.1345,1.416,0.021,344,0.0223,42,0f50fb19f263c430
RF,SW,With BoW,0.9772,0.8719,0.1589,0.6667,0.0065,0.0129,2.225,0.06,344,0.0223,42,0f50fb19f263c430
GB,SW,With BoW,0.8544,0.8925,0.1766,0.1175,0.8214,0.2055,29.003,0.042,344,0.0223,42,0f50fb19f263c430
KNN,SW,With BoW,0.9768,0.5172,0.024,0.0,0.0,0.0,0.033,3.941,344,0.0223,42,0f50fb19f263c430
LR,SW,With BoW,0.7576,0.8374,0.1176,0.0732,0.8214,0.1345,1.414,0.02,344,0.0223,1,0f50fb19f263c430
RF,SW,With BoW,0.9771,0.8712,0.1606,0.5,0.0032,0.0065,2.23,0.062,344,0.0223,1,0f50fb19f263c430
GB,SW,With BoW,0.8544,0.8925,0.1766,0.1175,0.8214,0.2055,29.497,0.047,344,0.0223,1,0f50fb19f263c430
KNN,SW,With BoW,0.9768,0.5172,0.024,0.0,0.0,0.0,0.034,4.679,344,0.0223,1,0f50fb19f263c430
LR,SW,With BoW,0.7576,0.8374,0.1176,0.0732,0.8214,0.1345,1.608,0.021,344,0.0223,2,0f50fb19f263c430
RF,SW,With BoW,0.9769,0.8714,0.1482,0.0,0.0,0.0,2.484,0.07,344,0.0223,2,0f50fb19f263c430
GB,SW,With BoW,0.8544,0.8925,0.1766,0.1175,0.8214,0.2055,28.881,0.042,344,0.0223,2,0f50fb19f263c430
KNN,SW,With BoW,0.9768,0.5172,0.024,0.0,0.0,0.0,0.034,3.891,344,0.0223,2,0f50fb19f263c430
LR,SW,With BoW,0.7576,0.8374,0.1176,0.0732,0.8214,0.1345,1.422,0.021,344,0.0223,3,0f50fb19f263c430
RF,SW,With BoW,0.977,0.8749,0.1717,0.3333,0.0032,0.0064,2.232,0.059,344,0.0223,3,0f50fb19f263c430
GB,SW,With BoW,0.8544,0.8925,0.1766,0.1175,0.8214,0.2055,30.495,0.041,344,0.0223,3,0f50fb19f263c430
KNN,SW,With BoW,0.9768,0.5172,0.024,0.0,0.0,0.0,0.033,3.959,344,0.0223,3,0f50fb19f263c430
LR,SW,With BoW,0.7576,0.8374,0.1176,0.0732,0.8214,0.1345,1.404,0.02,344,0.0223,4,0f50fb19f263c430
RF,SW,With BoW,0.9771,0.8737,0.166,0.5,0.0032,0.0065,2.214,0.059,344,0.0223,4,0f50fb19f263c430
GB,SW,With BoW,0.8544,0.8925,0.1766,0.1175,0.8214,0.2055,29.422,0.041,344,0.0223,4,0f50fb19f263c430
KNN,SW,With BoW,0.9768,0.5172,0.024,0.0,0.0,0.0,0.034,4.217,344,0.0223,4,0f50fb19f263c430
