Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Train_Time_s,Test_Time_s,n_features,pos_rate,Seed,split_id
LR,SW,No Process,0.633,0.5961,0.1105,0.103,0.487,0.17,0.114,0.004,59,0.0805,42,0f50fb19f263c430
RF,SW,No Process,0.9228,0.5652,0.0934,0.0,0.0,0.0,1.672,0.068,59,0.0805,42,0f50fb19f263c430
GB,SW,No Process,0.6431,0.6109,0.1153,0.1106,0.5149,0.1821,8.403,0.016,59,0.0805,42,0f50fb19f263c430
KNN,SW,No Process,0.9196,0.5193,0.0812,0.1207,0.0068,0.0128,0.008,2.936,59,0.0805,42,0f50fb19f263c430
LR,SW,No Process,0.633,0.5961,0.1105,0.103,0.487,0.17,0.162,0.005,59,0.0805,1,0f50fb19f263c430
RF,SW,No Process,0.9228,0.5829,0.0994,0.0,0.0,0.0,1.782,0.079,59,0.0805,1,0f50fb19f263c430
GB,SW,No Process,0.6431,0.6109,0.1153,0.1106,0.5149,0.1821,8.558,0.018,59,0.0805,1,0f50fb19f263c430
KNN,SW,No Process,0.9196,0.5193,0.0812,0.1207,0.0068,0.0128,0.008,1.191,59,0.0805,1,0f50fb19f263c430
LR,SW,No Process,0.633,0.5961,0.1105,0.103,0.487,0.17,0.11,0.004,59,0.0805,2,0f50fb19f263c430
RF,SW,No Process,0.9228,0.5777,0.0979,0.0,0.0,0.0,1.647,0.068,59,0.0805,2,0f50fb19f263c430
GB,SW,No Process,0.6431,0.6109,0.1153,0.1106,0.5149,0.1821,8.323,0.016,59,0.0805,2,0f50fb19f263c430
KNN,SW,No Process,0.9196,0.5193,0.0812,0.1207,0.0068,0.0128,0.008,1.196,59,0.0805,2,0f50fb19f263c430
LR,SW,No Process,0.633,0.5961,0.1105,0.103,0.487,0.17,0.113,0.004,59,0.0805,3,0f50fb19f263c430
RF,SW,No Process,0.9228,0.5855,0.102,0.0,0.0,0.0,1.661,0.068,59,0.0805,3,0f50fb19f263c430
GB,SW,No Process,0.6431,0.6109,0.1153,0.1106,0.5149,0.1821,8.365,0.016,59,0.0805,3,0f50fb19f263c430
KNN,SW,No Process,0.9196,0.5193,0.0812,0.1207,0.0068,0.0128,0.007,1.173,59,0.0805,3,0f50fb19f263c430
LR,SW,No Process,0.633,0.5961,0.1105,0.103,0.487,0.17,0.108,0.004,59,0.0805,4,0f50fb19f263c430
RF,SW,No Process,0.9228,0.5718,0.0942,0.0,0.0,0.0,1.651,0.068,59,0.0805,4,0f50fb19f263c430
GB,SW,No Process,0.6431,0.6109,0.1153,0.1106,0.5149,0.1821,8.384,0.017,59,0.0805,4,0f50fb19f263c430
KNN,SW,No Process,0.9196,0.5193,0.0812,0.1207,0.0068,0.0128,0.008,1.176,59,0.0805,4,0f50fb19f263c430
LR,SW,With Process,0.7367,0.8058,0.2261,0.1955,0.7743,0.3122,0.197,0.005,76,0.0805,42,0f50fb19f263c430
RF,SW,With Process,0.923,0.8527,0.3131,0.5128,0.0386,0.0717,1.855,0.057,76,0.0805,42,0f50fb19f263c430
GB,SW,With Process,0.8047,0.8595,0.313,0.255,0.7965,0.3863,13.805,0.021,76,0.0805,42,0f50fb19f263c430
KNN,SW,With Process,0.9196,0.5505,0.089,0.1562,0.0096,0.0182,0.01,1.626,76,0.0805,42,0f50fb19f263c430
LR,SW,With Process,0.7367,0.8058,0.2261,0.1955,0.7743,0.3122,0.193,0.005,76,0.0805,1,0f50fb19f263c430
RF,SW,With Process,0.9227,0.8523,0.3114,0.4848,0.0309,0.058,1.851,0.057,76,0.0805,1,0f50fb19f263c430
GB,SW,With Process,0.8047,0.8595,0.313,0.255,0.7965,0.3863,13.531,0.024,76,0.0805,1,0f50fb19f263c430
KNN,SW,With Process,0.9196,0.5505,0.089,0.1562,0.0096,0.0182,0.011,1.306,76,0.0805,1,0f50fb19f263c430
LR,SW,With Process,0.7367,0.8058,0.2261,0.1955,0.7743,0.3122,0.193,0.005,76,0.0805,2,0f50fb19f263c430
RF,SW,With Process,0.9225,0.8521,0.3099,0.4744,0.0357,0.0664,1.864,0.057,76,0.0805,2,0f50fb19f263c430
GB,SW,With Process,0.8047,0.8595,0.313,0.255,0.7965,0.3863,13.46,0.02,76,0.0805,2,0f50fb19f263c430
KNN,SW,With Process,0.9196,0.5505,0.089,0.1562,0.0096,0.0182,0.011,1.36,76,0.0805,2,0f50fb19f263c430
LR,SW,With Process,0.7367,0.8058,0.2261,0.1955,0.7743,0.3122,0.198,0.005,76,0.0805,3,0f50fb19f263c430
RF,SW,With Process,0.9228,0.8512,0.3155,0.5,0.0338,0.0632,1.912,0.068,76,0.0805,3,0f50fb19f263c430
GB,SW,With Process,0.8047,0.8595,0.313,0.255,0.7965,0.3863,13.433,0.02,76,0.0805,3,0f50fb19f263c430
KNN,SW,With Process,0.9196,0.5505,0.089,0.1562,0.0096,0.0182,0.009,1.325,76,0.0805,3,0f50fb19f263c430
LR,SW,With Process,0.7367,0.8058,0.2261,0.1955,0.7743,0.3122,0.195,0.005,76,0.0805,4,0f50fb19f263c430
RF,SW,With Process,0.923,0.8503,0.3163,0.5147,0.0338,0.0633,1.816,0.058,76,0.0805,4,0f50fb19f263c430
GB,SW,With Process,0.8047,0.8595,0.313,0.255,0.7965,0.3863,13.589,0.021,76,0.0805,4,0f50fb19f263c430
KNN,SW,With Process,0.9196,0.5505,0.089,0.1562,0.0096,0.0182,0.011,1.311,76,0.0805,4,0f50fb19f263c430
LR,SW,With BoW,0.7505,0.8047,0.2291,0.2023,0.7589,0.3195,1.135,0.021,344,0.0805,42,0f50fb19f263c430
RF,SW,With BoW,0.9251,0.8453,0.3242,0.7344,0.0453,0.0854,2.954,0.081,344,0.0805,42,0f50fb19f263c430
GB,SW,With BoW,0.8057,0.8594,0.3201,0.255,0.7898,0.3855,28.81,0.043,344,0.0805,42,0f50fb19f263c430
KNN,SW,With BoW,0.9198,0.5456,0.0877,0.1404,0.0077,0.0146,0.031,3.901,344,0.0805,42,0f50fb19f263c430
LR,SW,With BoW,0.7505,0.8047,0.2291,0.2023,0.7589,0.3195,1.304,0.021,344,0.0805,1,0f50fb19f263c430
RF,SW,With BoW,0.9245,0.8479,0.3254,0.7091,0.0376,0.0714,2.738,0.08,344,0.0805,1,0f50fb19f263c430
GB,SW,With BoW,0.8057,0.8595,0.3201,0.255,0.7898,0.3855,28.002,0.041,344,0.0805,1,0f50fb19f263c430
