Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Train_Time_s,Test_Time_s,n_features,pos_rate,Seed,split_id
LR,SW,No Process,0.6356,0.6033,0.1338,0.1256,0.4972,0.2005,0.118,0.004,59,0.0948,42,0f50fb19f263c430
RF,SW,No Process,0.908,0.5924,0.1208,0.0,0.0,0.0,1.686,0.068,59,0.0948,42,0f50fb19f263c430
GB,SW,No Process,0.6506,0.6192,0.1403,0.1349,0.5174,0.214,8.394,0.017,59,0.0948,42,0f50fb19f263c430
KNN,SW,No Process,0.9028,0.5193,0.0966,0.134,0.0105,0.0195,0.009,2.895,59,0.0948,42,0f50fb19f263c430
LR,SW,No Process,0.6356,0.6033,0.1338,0.1256,0.4972,0.2005,0.122,0.004,59,0.0948,1,0f50fb19f263c430
RF,SW,No Process,0.908,0.5913,0.1202,0.0,0.0,0.0,1.675,0.069,59,0.0948,1,0f50fb19f263c430
GB,SW,No Process,0.6507,0.6191,0.1402,0.1349,0.5174,0.214,9.555,0.017,59,0.0948,1,0f50fb19f263c430
KNN,SW,No Process,0.9028,0.5193,0.0966,0.134,0.0105,0.0195,0.008,1.235,59,0.0948,1,0f50fb19f263c430
LR,SW,No Process,0.6356,0.6033,0.1338,0.1256,0.4972,0.2005,0.117,0.004,59,0.0948,2,0f50fb19f263c430
RF,SW,No Process,0.9079,0.5852,0.1188,0.0,0.0,0.0,1.679,0.067,59,0.0948,2,0f50fb19f263c430
GB,SW,No Process,0.6507,0.6192,0.1403,0.1349,0.5174,0.214,8.403,0.018,59,0.0948,2,0f50fb19f263c430
KNN,SW,No Process,0.9028,0.5193,0.0966,0.134,0.0105,0.0195,0.008,1.171,59,0.0948,2,0f50fb19f263c430
LR,SW,No Process,0.6356,0.6033,0.1338,0.1256,0.4972,0.2005,0.124,0.004,59,0.0948,3,0f50fb19f263c430
RF,SW,No Process,0.9079,0.5922,0.1233,0.0,0.0,0.0,1.679,0.068,59,0.0948,3,0f50fb19f263c430
GB,SW,No Process,0.6507,0.6192,0.1403,0.1349,0.5174,0.214,8.359,0.017,59,0.0948,3,0f50fb19f263c430
KNN,SW,No Process,0.9028,0.5193,0.0966,0.134,0.0105,0.0195,0.008,1.184,59,0.0948,3,0f50fb19f263c430
LR,SW,No Process,0.6356,0.6033,0.1338,0.1256,0.4972,0.2005,0.116,0.004,59,0.0948,4,0f50fb19f263c430
RF,SW,No Process,0.908,0.5843,0.1182,0.0,0.0,0.0,1.653,0.067,59,0.0948,4,0f50fb19f263c430
GB,SW,No Process,0.6507,0.6192,0.1403,0.1349,0.5174,0.214,8.367,0.016,59,0.0948,4,0f50fb19f263c430
KNN,SW,No Process,0.9028,0.5193,0.0966,0.134,0.0105,0.0195,0.009,1.185,59,0.0948,4,0f50fb19f263c430
LR,SW,With Process,0.736,0.8002,0.2659,0.2251,0.7668,0.348,0.193,0.005,76,0.0948,42,0f50fb19f263c430
RF,SW,With Process,0.9092,0.8517,0.3593,0.5517,0.0648,0.1159,1.856,0.057,76,0.0948,42,0f50fb19f263c430
GB,SW,With Process,0.8019,0.8577,0.3544,0.2887,0.7895,0.4228,13.623,0.022,76,0.0948,42,0f50fb19f263c430
KNN,SW,With Process,0.9035,0.5576,0.1069,0.1556,0.0113,0.0211,0.011,1.649,76,0.0948,42,0f50fb19f263c430
LR,SW,With Process,0.736,0.8002,0.2659,0.2251,0.7668,0.348,0.214,0.007,76,0.0948,1,0f50fb19f263c430
RF,SW,With Process,0.9091,0.853,0.3601,0.5522,0.0599,0.1081,1.951,0.068,76,0.0948,1,0f50fb19f263c430
GB,SW,With Process,0.8019,0.8577,0.3544,0.2887,0.7895,0.4228,13.517,0.022,76,0.0948,1,0f50fb19f263c430
KNN,SW,With Process,0.9035,0.5576,0.1069,0.1556,0.0113,0.0211,0.009,1.359,76,0.0948,1,0f50fb19f263c430
LR,SW,With Process,0.736,0.8002,0.2659,0.2251,0.7668,0.348,0.185,0.005,76,0.0948,2,0f50fb19f263c430
