Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Train_Time_s,Test_Time_s,n_features,pos_rate,Seed,split_id
LR,ICU,No Process,0.7203,0.7439,0.3254,0.2441,0.6459,0.3543,0.154,0.007,59,0.1162,42,6e09b6e8a1606e84
RF,ICU,No Process,0.881,0.7272,0.2873,0.4651,0.01,0.0195,2.841,0.11,59,0.1162,42,6e09b6e8a1606e84
GB,ICU,No Process,0.7228,0.747,0.3213,0.246,0.6459,0.3563,12.606,0.027,59,0.1162,42,6e09b6e8a1606e84
KNN,ICU,No Process,0.8733,0.5803,0.1532,0.2781,0.0418,0.0727,0.013,3.728,59,0.1162,42,6e09b6e8a1606e84
LR,ICU,No Process,0.7203,0.7439,0.3254,0.2441,0.6459,0.3543,0.203,0.005,59,0.1162,1,6e09b6e8a1606e84
RF,ICU,No Process,0.8808,0.725,0.2894,0.4464,0.0125,0.0242,2.653,0.079,59,0.1162,1,6e09b6e8a1606e84
GB,ICU,No Process,0.7228,0.747,0.3213,0.246,0.6459,0.3563,12.286,0.025,59,0.1162,1,6e09b6e8a1606e84
KNN,ICU,No Process,0.8733,0.5803,0.1532,0.2781,0.0418,0.0727,0.012,1.93,59,0.1162,1,6e09b6e8a1606e84
LR,ICU,No Process,0.7203,0.7439,0.3254,0.2441,0.6459,0.3543,0.131,0.005,59,0.1162,2,6e09b6e8a1606e84
RF,ICU,No Process,0.8819,0.7259,0.2943,0.6078,0.0154,0.0301,2.824,0.089,59,0.1162,2,6e09b6e8a1606e84
GB,ICU,No Process,0.7228,0.747,0.3213,0.246,0.6459,0.3563,13.047,0.023,59,0.1162,2,6e09b6e8a1606e84
KNN,ICU,No Process,0.8733,0.5803,0.1532,0.2781,0.0418,0.0727,0.011,2.038,59,0.1162,2,6e09b6e8a1606e84
LR,ICU,No Process,0.7203,0.7439,0.3254,0.2441,0.6459,0.3543,0.132,0.006,59,0.1162,3,6e09b6e8a1606e84
RF,ICU,No Process,0.8812,0.7226,0.288,0.5,0.012,0.0233,2.433,0.079,59,0.1162,3,6e09b6e8a1606e84
GB,ICU,No Process,0.7228,0.747,0.3213,0.246,0.6459,0.3563,12.244,0.022,59,0.1162,3,6e09b6e8a1606e84
KNN,ICU,No Process,0.8733,0.5803,0.1532,0.2781,0.0418,0.0727,0.011,2.017,59,0.1162,3,6e09b6e8a1606e84
LR,ICU,No Process,0.7203,0.7439,0.3254,0.2441,0.6459,0.3543,0.135,0.005,59,0.1162,4,6e09b6e8a1606e84
RF,ICU,No Process,0.8811,0.7273,0.2913,0.4808,0.0125,0.0243,2.443,0.09,59,0.1162,4,6e09b6e8a1606e84
GB,ICU,No Process,0.7228,0.747,0.3213,0.246,0.6459,0.3563,12.65,0.024,59,0.1162,4,6e09b6e8a1606e84
KNN,ICU,No Process,0.8733,0.5803,0.1532,0.2781,0.0418,0.0727,0.011,2.015,59,0.1162,4,6e09b6e8a1606e84
LR,ICU,With Process,0.7503,0.7792,0.384,0.2736,0.6658,0.3878,0.192,0.006,76,0.1162,42,6e09b6e8a1606e84
RF,ICU,With Process,0.8823,0.8022,0.3736,0.6,0.0269,0.0515,3.281,0.101,76,0.1162,42,6e09b6e8a1606e84
GB,ICU,With Process,0.7538,0.8167,0.4047,0.2885,0.7316,0.4138,18.409,0.03,76,0.1162,42,6e09b6e8a1606e84
KNN,ICU,With Process,0.878,0.5903,0.1589,0.3789,0.0428,0.077,0.015,2.198,76,0.1162,42,6e09b6e8a1606e84
LR,ICU,With Process,0.7503,0.7792,0.384,0.2736,0.6658,0.3878,0.189,0.006,76,0.1162,1,6e09b6e8a1606e84
RF,ICU,With Process,0.882,0.8032,0.3673,0.5921,0.0224,0.0432,2.827,0.09,76,0.1162,1,6e09b6e8a1606e84
GB,ICU,With Process,0.7538,0.8167,0.4046,0.2885,0.7316,0.4138,18.269,0.028,76,0.1162,1,6e09b6e8a1606e84
KNN,ICU,With Process,0.878,0.5903,0.1589,0.3789,0.0428,0.077,0.015,2.13,76,0.1162,1,6e09b6e8a1606e84
LR,ICU,With Process,0.7503,0.7792,0.384,0.2736,0.6658,0.3878,0.203,0.006,76,0.1162,2,6e09b6e8a1606e84
RF,ICU,With Process,0.8823,0.8033,0.3756,0.6118,0.0259,0.0497,2.793,0.083,76,0.1162,2,6e09b6e8a1606e84
GB,ICU,With Process,0.7538,0.8167,0.4046,0.2885,0.7316,0.4138,18.149,0.029,76,0.1162,2,6e09b6e8a1606e84
KNN,ICU,With Process,0.878,0.5903,0.1589,0.3789,0.0428,0.077,0.016,2.174,76,0.1162,2,6e09b6e8a1606e84
LR,ICU,With Process,0.7503,0.7792,0.384,0.2736,0.6658,0.3878,0.195,0.006,76,0.1162,3,6e09b6e8a1606e84
RF,ICU,With Process,0.8823,0.8014,0.3696,0.6023,0.0264,0.0506,2.907,0.09,76,0.1162,3,6e09b6e8a1606e84
GB,ICU,With Process,0.7538,0.8167,0.4047,0.2885,0.7316,0.4138,18.408,0.029,76,0.1162,3,6e09b6e8a1606e84
KNN,ICU,With Process,0.878,0.5903,0.1589,0.3789,0.0428,0.077,0.016,2.15,76,0.1162,3,6e09b6e8a1606e84
LR,ICU,With Process,0.7503,0.7792,0.384,0.2736,0.6658,0.3878,0.189,0.006,76,0.1162,4,6e09b6e8a1606e84
RF,ICU,With Process,0.8819,0.8019,0.3719,0.5682,0.0249,0.0477,2.792,0.079,76,0.1162,4,6e09b6e8a1606e84
GB,ICU,With Process,0.7538,0.8167,0.4046,0.2885,0.7316,0.4138,18.279,0.028,76,0.1162,4,6e09b6e8a1606e84
KNN,ICU,With Process,0.878,0.5903,0.1589,0.3789,0.0428,0.077,0.016,2.125,76,0.1162,4,6e09b6e8a1606e84
LR,ICU,With BoW,0.7568,0.7758,0.384,0.2793,0.6628,0.393,1.556,0.026,356,0.1162,42,6e09b6e8a1606e84
