Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Train_Time_s,Test_Time_s,n_features,pos_rate,Seed,split_id
LR,ICU,No Process,0.7244,0.7504,0.4162,0.3071,0.6512,0.4174,0.16,0.005,59,0.149,42,6e09b6e8a1606e84
RF,ICU,No Process,0.8538,0.7338,0.3806,0.6729,0.0698,0.1265,3.004,0.144,59,0.149,42,6e09b6e8a1606e84
GB,ICU,No Process,0.7288,0.7523,0.4168,0.3098,0.6422,0.418,12.799,0.025,59,0.149,42,6e09b6e8a1606e84
KNN,ICU,No Process,0.839,0.5895,0.2008,0.3542,0.0749,0.1237,0.013,3.877,59,0.149,42,6e09b6e8a1606e84
LR,ICU,No Process,0.7244,0.7504,0.4162,0.3071,0.6512,0.4174,0.158,0.005,59,0.149,1,6e09b6e8a1606e84
RF,ICU,No Process,0.8537,0.7377,0.3857,0.6667,0.0702,0.1271,3.01,0.122,59,0.149,1,6e09b6e8a1606e84
GB,ICU,No Process,0.7289,0.7523,0.4167,0.3099,0.6422,0.418,12.697,0.024,59,0.149,1,6e09b6e8a1606e84
KNN,ICU,No Process,0.839,0.5895,0.2008,0.3542,0.0749,0.1237,0.012,2.058,59,0.149,1,6e09b6e8a1606e84
LR,ICU,No Process,0.7244,0.7504,0.4162,0.3071,0.6512,0.4174,0.144,0.005,59,0.149,2,6e09b6e8a1606e84
RF,ICU,No Process,0.8533,0.7336,0.3788,0.6566,0.0679,0.1231,2.685,0.1,59,0.149,2,6e09b6e8a1606e84
GB,ICU,No Process,0.7289,0.7523,0.4166,0.3099,0.6422,0.418,12.302,0.026,59,0.149,2,6e09b6e8a1606e84
KNN,ICU,No Process,0.839,0.5895,0.2008,0.3542,0.0749,0.1237,0.011,2.121,59,0.149,2,6e09b6e8a1606e84
LR,ICU,No Process,0.7244,0.7504,0.4162,0.3071,0.6512,0.4174,0.152,0.005,59,0.149,3,6e09b6e8a1606e84
RF,ICU,No Process,0.8522,0.7341,0.3804,0.6143,0.0671,0.121,2.667,0.099,59,0.149,3,6e09b6e8a1606e84
GB,ICU,No Process,0.7289,0.7523,0.4166,0.3099,0.6422,0.418,13.383,0.024,59,0.149,3,6e09b6e8a1606e84
KNN,ICU,No Process,0.839,0.5895,0.2008,0.3542,0.0749,0.1237,0.012,2.604,59,0.149,3,6e09b6e8a1606e84
LR,ICU,No Process,0.7244,0.7504,0.4162,0.3071,0.6512,0.4174,0.159,0.005,59,0.149,4,6e09b6e8a1606e84
RF,ICU,No Process,0.8537,0.7388,0.3862,0.6679,0.0698,0.1265,2.792,0.1,59,0.149,4,6e09b6e8a1606e84
GB,ICU,No Process,0.7288,0.7523,0.4167,0.3098,0.6422,0.418,12.629,0.025,59,0.149,4,6e09b6e8a1606e84
KNN,ICU,No Process,0.839,0.5895,0.2008,0.3542,0.0749,0.1237,0.011,2.244,59,0.149,4,6e09b6e8a1606e84
LR,ICU,With Process,0.7583,0.7926,0.5149,0.3476,0.6769,0.4593,0.183,0.01,76,0.149,42,6e09b6e8a1606e84
RF,ICU,With Process,0.8628,0.8291,0.5053,0.7075,0.1623,0.264,3.21,0.134,76,0.149,42,6e09b6e8a1606e84
GB,ICU,With Process,0.7852,0.8424,0.548,0.3908,0.7452,0.5128,19.401,0.029,76,0.149,42,6e09b6e8a1606e84
KNN,ICU,With Process,0.8436,0.6004,0.211,0.4102,0.0722,0.1228,0.015,2.31,76,0.149,42,6e09b6e8a1606e84
LR,ICU,With Process,0.7583,0.7926,0.5149,0.3476,0.6769,0.4593,0.231,0.007,76,0.149,1,6e09b6e8a1606e84
RF,ICU,With Process,0.8627,0.8279,0.5069,0.7101,0.1596,0.2606,3.006,0.089,76,0.149,1,6e09b6e8a1606e84
GB,ICU,With Process,0.7852,0.8424,0.5481,0.3908,0.7452,0.5128,18.318,0.033,76,0.149,1,6e09b6e8a1606e84
KNN,ICU,With Process,0.8436,0.6004,0.211,0.4102,0.0722,0.1228,0.015,2.211,76,0.149,1,6e09b6e8a1606e84
LR,ICU,With Process,0.7583,0.7926,0.5149,0.3476,0.6769,0.4593,0.174,0.006,76,0.149,2,6e09b6e8a1606e84
RF,ICU,With Process,0.8632,0.8312,0.5095,0.7163,0.1615,0.2636,2.932,0.089,76,0.149,2,6e09b6e8a1606e84
GB,ICU,With Process,0.7852,0.8424,0.548,0.3908,0.7452,0.5128,18.28,0.027,76,0.149,2,6e09b6e8a1606e84
KNN,ICU,With Process,0.8436,0.6004,0.211,0.4102,0.0722,0.1228,0.015,2.221,76,0.149,2,6e09b6e8a1606e84
LR,ICU,With Process,0.7583,0.7926,0.5149,0.3476,0.6769,0.4593,0.182,0.006,76,0.149,3,6e09b6e8a1606e84
RF,ICU,With Process,0.8613,0.8274,0.5001,0.6938,0.1529,0.2506,2.929,0.09,76,0.149,3,6e09b6e8a1606e84
GB,ICU,With Process,0.7852,0.8424,0.5481,0.3908,0.7452,0.5128,18.832,0.027,76,0.149,3,6e09b6e8a1606e84
KNN,ICU,With Process,0.8436,0.6004,0.211,0.4102,0.0722,0.1228,0.017,2.291,76,0.149,3,6e09b6e8a1606e84
LR,ICU,With Process,0.7583,0.7926,0.5149,0.3476,0.6769,0.4593,0.182,0.007,76,0.149,4,6e09b6e8a1606e84
RF,ICU,With Process,0.8623,0.8287,0.5069,0.7063,0.1576,0.2577,3.354,0.112,76,0.149,4,6e09b6e8a1606e84
GB,ICU,With Process,0.7852,0.8424,0.5481,0.3908,0.7452,0.5128,19.777,0.036,76,0.149,4,6e09b6e8a1606e84
KNN,ICU,With Process,0.8436,0.6004,0.211,0.4102,0.0722,0.1228,0.017,2.643,76,0.149,4,6e09b6e8a1606e84
LR,ICU,With BoW,0.7666,0.7909,0.5166,0.3573,0.6754,0.4673,1.236,0.03,356,0.149,42,6e09b6e8a1606e84
RF,ICU,With BoW,0.8561,0.8179,0.4739,0.7134,0.0854,0.1526,5.266,0.114,356,0.149,42,6e09b6e8a1606e84
GB,ICU,With BoW,0.7848,0.8419,0.5465,0.3905,0.7468,0.5128,44.99,0.058,356,0.149,42,6e09b6e8a1606e84
KNN,ICU,With BoW,0.8416,0.5881,0.1995,0.3634,0.0597,0.1025,0.058,6.94,356,0.149,42,6e09b6e8a1606e84
LR,ICU,With BoW,0.7666,0.7909,0.5166,0.3573,0.6754,0.4673,1.215,0.027,356,0.149,1,6e09b6e8a1606e84
RF,ICU,With BoW,0.8572,0.8202,0.49,0.738,0.0901,0.1606,5.539,0.182,356,0.149,1,6e09b6e8a1606e84
GB,ICU,With BoW,0.7848,0.8419,0.5465,0.3905,0.7468,0.5128,42.122,0.063,356,0.149,1,6e09b6e8a1606e84
KNN,ICU,With BoW,0.8416,0.5881,0.1995,0.3634,0.0597,0.1025,0.061,6.895,356,0.149,1,6e09b6e8a1606e84
LR,ICU,With BoW,0.7666,0.7909,0.5166,0.3573,0.6754,0.4673,1.07,0.027,356,0.149,2,6e09b6e8a1606e84
RF,ICU,With BoW,0.8574,0.8218,0.4817,0.727,0.0956,0.169,4.961,0.148,356,0.149,2,6e09b6e8a1606e84
