Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Train_Time_s,Test_Time_s,n_features,pos_rate,Seed,split_id
LR,ICU,No Process,0.7254,0.749,0.387,0.2857,0.6407,0.3951,0.11,0.004,59,0.1345,42,14d2082d80407129
RF,ICU,No Process,0.8643,0.7364,0.3662,0.6388,0.0705,0.127,1.988,0.078,59,0.1345,42,14d2082d80407129
GB,ICU,No Process,0.7405,0.7504,0.395,0.2968,0.6232,0.4021,10.42,0.022,59,0.1345,42,14d2082d80407129
KNN,ICU,No Process,0.8544,0.6033,0.2009,0.3985,0.0792,0.1322,0.008,3.245,59,0.1345,42,14d2082d80407129
LR,ICU,No Process,0.7254,0.749,0.387,0.2857,0.6407,0.3951,0.12,0.005,59,0.1345,1,14d2082d80407129
RF,ICU,No Process,0.8644,0.7388,0.3649,0.6295,0.0768,0.1369,2.128,0.079,59,0.1345,1,14d2082d80407129
GB,ICU,No Process,0.7405,0.7504,0.3947,0.2968,0.6232,0.4021,10.315,0.02,59,0.1345,1,14d2082d80407129
KNN,ICU,No Process,0.8544,0.6033,0.2009,0.3985,0.0792,0.1322,0.007,1.653,59,0.1345,1,14d2082d80407129
LR,ICU,No Process,0.7254,0.749,0.387,0.2857,0.6407,0.3951,0.125,0.005,59,0.1345,2,14d2082d80407129
RF,ICU,No Process,0.8645,0.7385,0.3648,0.6341,0.0758,0.1355,2.163,0.079,59,0.1345,2,14d2082d80407129
GB,ICU,No Process,0.7405,0.7504,0.3947,0.2968,0.6232,0.4021,10.229,0.025,59,0.1345,2,14d2082d80407129
KNN,ICU,No Process,0.8544,0.6033,0.2009,0.3985,0.0792,0.1322,0.008,1.48,59,0.1345,2,14d2082d80407129
LR,ICU,No Process,0.7254,0.749,0.387,0.2857,0.6407,0.3951,0.102,0.008,59,0.1345,3,14d2082d80407129
RF,ICU,No Process,0.8638,0.7391,0.3601,0.6038,0.0778,0.1378,2.026,0.078,59,0.1345,3,14d2082d80407129
GB,ICU,No Process,0.7405,0.7504,0.3947,0.2968,0.6232,0.4021,10.89,0.02,59,0.1345,3,14d2082d80407129
KNN,ICU,No Process,0.8544,0.6033,0.2009,0.3985,0.0792,0.1322,0.007,1.787,59,0.1345,3,14d2082d80407129
LR,ICU,No Process,0.7254,0.749,0.387,0.2857,0.6407,0.3951,0.146,0.005,59,0.1345,4,14d2082d80407129
RF,ICU,No Process,0.8646,0.7405,0.3677,0.6463,0.0719,0.1295,1.996,0.068,59,0.1345,4,14d2082d80407129
GB,ICU,No Process,0.7405,0.7504,0.3947,0.2968,0.6232,0.4021,9.97,0.02,59,0.1345,4,14d2082d80407129
KNN,ICU,No Process,0.8544,0.6033,0.2009,0.3985,0.0792,0.1322,0.008,1.432,59,0.1345,4,14d2082d80407129
LR,ICU,With Process,0.7488,0.7739,0.4369,0.3122,0.6602,0.4239,0.179,0.006,76,0.1345,42,14d2082d80407129
RF,ICU,With Process,0.8676,0.8029,0.4352,0.711,0.0909,0.1612,2.54,0.078,76,0.1345,42,14d2082d80407129
GB,ICU,With Process,0.7564,0.8097,0.454,0.3304,0.7214,0.4533,15.549,0.029,76,0.1345,42,14d2082d80407129
KNN,ICU,With Process,0.8539,0.5906,0.1928,0.3797,0.069,0.1168,0.009,1.712,76,0.1345,42,14d2082d80407129
LR,ICU,With Process,0.7488,0.7739,0.4369,0.3122,0.6602,0.4239,0.148,0.005,76,0.1345,1,14d2082d80407129
RF,ICU,With Process,0.8667,0.8012,0.4281,0.7143,0.0802,0.1442,2.306,0.078,76,0.1345,1,14d2082d80407129
GB,ICU,With Process,0.7564,0.8097,0.4541,0.3304,0.7214,0.4533,16.049,0.023,76,0.1345,1,14d2082d80407129
KNN,ICU,With Process,0.8539,0.5906,0.1928,0.3797,0.069,0.1168,0.01,1.61,76,0.1345,1,14d2082d80407129
LR,ICU,With Process,0.7488,0.7739,0.4369,0.3122,0.6602,0.4239,0.15,0.005,76,0.1345,2,14d2082d80407129
RF,ICU,With Process,0.8663,0.8022,0.4307,0.6914,0.0817,0.1461,2.276,0.068,76,0.1345,2,14d2082d80407129
GB,ICU,With Process,0.7564,0.8097,0.4541,0.3304,0.7214,0.4533,15.565,0.023,76,0.1345,2,14d2082d80407129
KNN,ICU,With Process,0.8539,0.5906,0.1928,0.3797,0.069,0.1168,0.01,1.604,76,0.1345,2,14d2082d80407129
LR,ICU,With Process,0.7488,0.7739,0.4369,0.3122,0.6602,0.4239,0.154,0.005,76,0.1345,3,14d2082d80407129
RF,ICU,With Process,0.8661,0.8057,0.429,0.6718,0.0856,0.1518,2.246,0.068,76,0.1345,3,14d2082d80407129
GB,ICU,With Process,0.7564,0.8097,0.4541,0.3304,0.7214,0.4533,16.013,0.024,76,0.1345,3,14d2082d80407129
KNN,ICU,With Process,0.8539,0.5906,0.1928,0.3797,0.069,0.1168,0.01,1.627,76,0.1345,3,14d2082d80407129
LR,ICU,With Process,0.7488,0.7739,0.4369,0.3122,0.6602,0.4239,0.16,0.005,76,0.1345,4,14d2082d80407129
RF,ICU,With Process,0.8669,0.8019,0.4292,0.6965,0.087,0.1547,2.368,0.09,76,0.1345,4,14d2082d80407129
GB,ICU,With Process,0.7564,0.8097,0.4541,0.3304,0.7214,0.4533,15.616,0.023,76,0.1345,4,14d2082d80407129
KNN,ICU,With Process,0.8539,0.5906,0.1928,0.3797,0.069,0.1168,0.01,1.616,76,0.1345,4,14d2082d80407129
LR,ICU,With BoW,0.7515,0.7722,0.4363,0.3142,0.6558,0.4249,1.63,0.02,356,0.1345,42,14d2082d80407129
RF,ICU,With BoW,0.8631,0.7932,0.4095,0.713,0.0374,0.0711,3.803,0.112,356,0.1345,42,14d2082d80407129
GB,ICU,With BoW,0.7534,0.8117,0.458,0.3268,0.7185,0.4492,35.929,0.056,356,0.1345,42,14d2082d80407129
KNN,ICU,With BoW,0.8533,0.5836,0.1823,0.3486,0.0554,0.0956,0.039,6.068,356,0.1345,42,14d2082d80407129
LR,ICU,With BoW,0.7515,0.7722,0.4363,0.3142,0.6558,0.4249,1.977,0.021,356,0.1345,1,14d2082d80407129
RF,ICU,With BoW,0.8616,0.7905,0.4015,0.6117,0.0306,0.0583,3.923,0.111,356,0.1345,1,14d2082d80407129
GB,ICU,With BoW,0.7534,0.8117,0.458,0.3268,0.7185,0.4492,36.56,0.066,356,0.1345,1,14d2082d80407129
KNN,ICU,With BoW,0.8533,0.5836,0.1823,0.3486,0.0554,0.0956,0.042,6.227,356,0.1345,1,14d2082d80407129
LR,ICU,With BoW,0.7515,0.7722,0.4363,0.3142,0.6558,0.4249,1.719,0.02,356,0.1345,2,14d2082d80407129
RF,ICU,With BoW,0.8621,0.7936,0.4058,0.6372,0.035,0.0664,4.535,0.135,356,0.1345,2,14d2082d80407129
GB,ICU,With BoW,0.7534,0.8117,0.458,0.3268,0.7185,0.4492,33.797,0.048,356,0.1345,2,14d2082d80407129
KNN,ICU,With BoW,0.8533,0.5836,0.1823,0.3486,0.0554,0.0956,0.036,4.804,356,0.1345,2,14d2082d80407129
LR,ICU,With BoW,0.7515,0.7722,0.4363,0.3142,0.6558,0.4249,1.556,0.021,356,0.1345,3,14d2082d80407129
