Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,n_features,pos_rate,Seed,split_id
MLP,SW,No Process,0.5628,0.5782,0.0288,0.028,0.5357,0.0532,24,22.1,59,0.0223,42,0f50fb19f263c430
MLP,SW,With Process,0.7813,0.8642,0.1508,0.0815,0.8312,0.1484,17,15.3,76,0.0223,42,0f50fb19f263c430
MLP,SW,No Process,0.5636,0.5919,0.0285,0.0292,0.5584,0.0554,23,20.5,59,0.0223,1,0f50fb19f263c430
MLP,SW,With Process,0.8026,0.8643,0.1353,0.0888,0.8214,0.1602,31,29.9,76,0.0223,1,0f50fb19f263c430
MLP,SW,No Process,0.6446,0.5927,0.0314,0.0303,0.4675,0.0569,32,29.3,59,0.0223,2,0f50fb19f263c430
MLP,SW,With Process,0.8162,0.8589,0.1355,0.0924,0.7955,0.1655,29,27.7,76,0.0223,2,0f50fb19f263c430
MLP,SW,No Process,0.6114,0.592,0.0361,0.0289,0.4903,0.0547,33,30.9,59,0.0223,3,0f50fb19f263c430
MLP,SW,With Process,0.7927,0.8638,0.1302,0.0851,0.8247,0.1542,23,22.4,76,0.0223,3,0f50fb19f263c430
MLP,SW,No Process,0.5793,0.5859,0.0279,0.0294,0.5422,0.0558,20,18.0,59,0.0223,4,0f50fb19f263c430
MLP,SW,With Process,0.815,0.8671,0.1444,0.0934,0.8117,0.1674,25,24.0,76,0.0223,4,0f50fb19f263c430
