Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,n_features,pos_rate,Seed,split_id
MLP,SW,No Process,0.5807,0.5946,0.1109,0.0989,0.5468,0.1676,17,14.8,59,0.0805,42,0f50fb19f263c430
MLP,SW,With Process,0.765,0.8463,0.2994,0.2219,0.8158,0.3489,26,24.1,76,0.0805,42,0f50fb19f263c430
MLP,SW,No Process,0.5562,0.5953,0.1101,0.0985,0.5824,0.1685,14,13.2,59,0.0805,1,0f50fb19f263c430
MLP,SW,With Process,0.7607,0.8432,0.2945,0.2211,0.8322,0.3493,46,42.4,76,0.0805,1,0f50fb19f263c430
MLP,SW,No Process,0.638,0.6001,0.1108,0.1055,0.4937,0.1739,19,17.2,59,0.0805,2,0f50fb19f263c430
MLP,SW,With Process,0.7709,0.8476,0.3018,0.2262,0.8129,0.3539,44,40.3,76,0.0805,2,0f50fb19f263c430
MLP,SW,No Process,0.5966,0.5929,0.1055,0.1023,0.5439,0.1722,24,22.6,59,0.0805,3,0f50fb19f263c430
MLP,SW,With Process,0.7562,0.8437,0.2985,0.2179,0.8341,0.3456,27,26.1,76,0.0805,3,0f50fb19f263c430
MLP,SW,No Process,0.6115,0.597,0.111,0.1002,0.5053,0.1672,17,17.5,59,0.0805,4,0f50fb19f263c430
MLP,SW,With Process,0.7619,0.8471,0.3049,0.2219,0.8322,0.3504,40,37.5,76,0.0805,4,0f50fb19f263c430
