Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,n_features,pos_rate,Seed,split_id
MLP,SW,No Process,0.6025,0.6035,0.1337,0.1239,0.5474,0.202,17,14.9,59,0.0948,42,0f50fb19f263c430
MLP,SW,With Process,0.7708,0.8481,0.3471,0.2623,0.8243,0.398,36,33.8,76,0.0948,42,0f50fb19f263c430
MLP,SW,No Process,0.645,0.6116,0.1371,0.1286,0.4955,0.2042,21,19.0,59,0.0948,1,0f50fb19f263c430
MLP,SW,With Process,0.7826,0.8493,0.3568,0.2694,0.7976,0.4028,39,36.1,76,0.0948,1,0f50fb19f263c430
MLP,SW,No Process,0.6007,0.6084,0.1349,0.1245,0.5547,0.2034,26,23.7,59,0.0948,2,0f50fb19f263c430
MLP,SW,With Process,0.7799,0.8491,0.3503,0.2665,0.796,0.3993,45,41.5,76,0.0948,2,0f50fb19f263c430
MLP,SW,No Process,0.6084,0.6059,0.1317,0.1236,0.5352,0.2008,24,22.3,59,0.0948,3,0f50fb19f263c430
MLP,SW,With Process,0.7669,0.8464,0.3468,0.2579,0.8178,0.3921,31,29.1,76,0.0948,3,0f50fb19f263c430
MLP,SW,No Process,0.6446,0.6083,0.1371,0.1278,0.4923,0.203,23,20.8,59,0.0948,4,0f50fb19f263c430
MLP,SW,With Process,0.7628,0.848,0.3556,0.2548,0.8211,0.3889,42,38.9,76,0.0948,4,0f50fb19f263c430
