Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,n_features,pos_rate,Seed,split_id
MLP,ICU,No Process,0.7161,0.7433,0.3226,0.2411,0.6469,0.3513,19,25.0,59,0.1162,42,6e09b6e8a1606e84
MLP,ICU,With Process,0.7269,0.8056,0.4057,0.2663,0.7405,0.3918,33,42.9,76,0.1162,42,6e09b6e8a1606e84
MLP,SW,No Process,0.7702,0.7676,0.3116,0.2359,0.6435,0.3452,18,18.2,59,0.0953,42,0f50fb19f263c430
MLP,SW,With Process,0.7907,0.9097,0.6259,0.2952,0.8822,0.4424,31,33.2,76,0.0953,42,0f50fb19f263c430
MLP,ICU,No Process,0.713,0.7437,0.3267,0.2381,0.6434,0.3475,17,22.6,59,0.1162,1,6e09b6e8a1606e84
MLP,ICU,With Process,0.7035,0.8106,0.4052,0.2542,0.7734,0.3827,25,33.0,76,0.1162,1,6e09b6e8a1606e84
MLP,SW,No Process,0.7998,0.7696,0.3197,0.2599,0.6095,0.3644,20,20.5,59,0.0953,1,0f50fb19f263c430
MLP,SW,With Process,0.7925,0.9107,0.6323,0.2975,0.8846,0.4453,43,45.8,76,0.0953,1,0f50fb19f263c430
MLP,ICU,No Process,0.7206,0.7447,0.327,0.2438,0.6429,0.3535,18,23.4,59,0.1162,2,6e09b6e8a1606e84
MLP,ICU,With Process,0.7303,0.8111,0.4085,0.2704,0.748,0.3972,28,36.6,76,0.1162,2,6e09b6e8a1606e84
MLP,SW,No Process,0.7895,0.7687,0.3163,0.2479,0.6079,0.3522,19,19.9,59,0.0953,2,0f50fb19f263c430
MLP,SW,With Process,0.8046,0.9117,0.6324,0.309,0.8704,0.4561,36,38.5,76,0.0953,2,0f50fb19f263c430
MLP,ICU,No Process,0.7269,0.7446,0.3278,0.247,0.6345,0.3556,17,22.2,59,0.1162,3,6e09b6e8a1606e84
MLP,ICU,With Process,0.715,0.8086,0.4106,0.2597,0.756,0.3866,39,53.3,76,0.1162,3,6e09b6e8a1606e84
MLP,SW,No Process,0.7943,0.7688,0.3026,0.2555,0.619,0.3617,16,16.7,59,0.0953,3,0f50fb19f263c430
MLP,SW,With Process,0.7961,0.912,0.6312,0.3016,0.8862,0.45,39,41.8,76,0.0953,3,0f50fb19f263c430
MLP,ICU,No Process,0.7028,0.7436,0.3264,0.235,0.6658,0.3474,18,24.0,59,0.1162,4,6e09b6e8a1606e84
MLP,ICU,With Process,0.7258,0.8079,0.4061,0.2667,0.748,0.3932,33,43.5,76,0.1162,4,6e09b6e8a1606e84
MLP,SW,No Process,0.7828,0.7698,0.3051,0.2447,0.6261,0.3518,16,17.1,59,0.0953,4,0f50fb19f263c430
MLP,SW,With Process,0.7975,0.9133,0.6363,0.3042,0.8941,0.4539,39,42.1,76,0.0953,4,0f50fb19f263c430
