Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,n_features,pos_rate,Seed,split_id
MLP,ICU,No Process,0.7108,0.7503,0.4184,0.2969,0.6629,0.4101,20,27.4,59,0.1489,42,6e09b6e8a1606e84
MLP,ICU,With Process,0.7489,0.8385,0.5585,0.3515,0.776,0.4838,31,41.4,76,0.1489,42,6e09b6e8a1606e84
MLP,SW,No Process,0.7202,0.7079,0.3201,0.264,0.5684,0.3605,17,17.5,59,0.1429,42,0f50fb19f263c430
MLP,SW,With Process,0.8,0.894,0.6421,0.3983,0.8643,0.5453,31,33.2,76,0.1429,42,0f50fb19f263c430
MLP,ICU,No Process,0.7208,0.7497,0.4183,0.3036,0.6504,0.414,15,20.9,59,0.1489,1,6e09b6e8a1606e84
MLP,ICU,With Process,0.7408,0.8374,0.557,0.3446,0.7866,0.4793,30,38.6,76,0.1489,1,6e09b6e8a1606e84
MLP,SW,No Process,0.7432,0.7129,0.3393,0.2805,0.5432,0.37,26,26.1,59,0.1429,1,0f50fb19f263c430
MLP,SW,With Process,0.8061,0.8938,0.6496,0.4065,0.8638,0.5528,39,39.3,76,0.1429,1,0f50fb19f263c430
MLP,ICU,No Process,0.7108,0.7501,0.4187,0.298,0.6695,0.4125,22,27.1,59,0.1489,2,6e09b6e8a1606e84
MLP,ICU,With Process,0.7676,0.8381,0.5586,0.3702,0.7597,0.4978,37,45.2,76,0.1489,2,6e09b6e8a1606e84
MLP,SW,No Process,0.7436,0.7109,0.3335,0.2813,0.5448,0.371,26,25.8,59,0.1429,2,0f50fb19f263c430
MLP,SW,With Process,0.7967,0.8957,0.6506,0.3949,0.8729,0.5438,30,29.9,76,0.1429,2,0f50fb19f263c430
MLP,ICU,No Process,0.7195,0.7486,0.4187,0.3026,0.6516,0.4133,18,22.4,59,0.1489,3,6e09b6e8a1606e84
MLP,ICU,With Process,0.7637,0.837,0.5577,0.3648,0.753,0.4915,32,40.0,76,0.1489,3,6e09b6e8a1606e84
MLP,SW,No Process,0.7466,0.7094,0.3169,0.2836,0.541,0.3721,16,15.6,59,0.1429,3,0f50fb19f263c430
MLP,SW,With Process,0.7965,0.8946,0.646,0.3948,0.8756,0.5442,34,33.5,76,0.1429,3,0f50fb19f263c430
MLP,ICU,No Process,0.7277,0.7481,0.4187,0.3082,0.6395,0.4159,19,23.7,59,0.1489,4,6e09b6e8a1606e84
MLP,ICU,With Process,0.7553,0.8381,0.5581,0.3568,0.7647,0.4866,29,36.0,76,0.1489,4,6e09b6e8a1606e84
MLP,SW,No Process,0.7343,0.7103,0.3296,0.2725,0.5475,0.3639,27,25.3,59,0.1429,4,0f50fb19f263c430
MLP,SW,With Process,0.803,0.8958,0.6497,0.4036,0.8783,0.5531,42,38.4,76,0.1429,4,0f50fb19f263c430
