Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,n_features,pos_rate,Seed,split_id
MLP,ICU,No Process,0.7455,0.7513,0.3919,0.3005,0.6159,0.4039,26,25.7,59,0.1345,42,14d2082d80407129
MLP,ICU,With Process,0.7549,0.8095,0.4606,0.3276,0.7137,0.4491,32,32.1,76,0.1345,42,14d2082d80407129
MLP,SW,No Process,0.7404,0.8026,0.7982,0.7336,0.6853,0.7086,59,11.3,59,0.4548,42,476006eb47fe7cf9
MLP,SW,With Process,0.75,0.8165,0.8095,0.7574,0.6729,0.7126,35,6.9,76,0.4548,42,476006eb47fe7cf9
MLP,ICU,No Process,0.7278,0.7495,0.3941,0.2868,0.6354,0.3952,24,26.2,59,0.1345,1,14d2082d80407129
MLP,ICU,With Process,0.7555,0.8079,0.4605,0.3275,0.7083,0.4479,34,38.2,76,0.1345,1,14d2082d80407129
MLP,SW,No Process,0.7468,0.8052,0.7994,0.7634,0.6527,0.7037,48,9.0,59,0.4548,1,476006eb47fe7cf9
MLP,SW,With Process,0.7493,0.8171,0.8077,0.7487,0.686,0.716,47,8.9,76,0.4548,1,476006eb47fe7cf9
MLP,ICU,No Process,0.7347,0.7517,0.3919,0.2916,0.6262,0.3979,21,20.6,59,0.1345,2,14d2082d80407129
MLP,ICU,With Process,0.7581,0.8089,0.4619,0.3308,0.7117,0.4516,28,30.7,76,0.1345,2,14d2082d80407129
MLP,SW,No Process,0.7475,0.8068,0.8004,0.7448,0.6876,0.715,39,7.0,59,0.4548,2,476006eb47fe7cf9
MLP,SW,With Process,0.7464,0.816,0.8081,0.7342,0.7047,0.7191,28,5.1,76,0.4548,2,476006eb47fe7cf9
MLP,ICU,No Process,0.7413,0.7521,0.395,0.2947,0.6087,0.3971,21,20.5,59,0.1345,3,14d2082d80407129
MLP,ICU,With Process,0.7386,0.8064,0.4586,0.3132,0.7273,0.4379,34,33.8,76,0.1345,3,14d2082d80407129
MLP,SW,No Process,0.7425,0.8034,0.7976,0.7421,0.676,0.7075,40,7.4,59,0.4548,3,476006eb47fe7cf9
MLP,SW,With Process,0.7486,0.8143,0.8107,0.7535,0.6752,0.7122,44,8.7,76,0.4548,3,476006eb47fe7cf9
MLP,ICU,No Process,0.7121,0.752,0.3958,0.2768,0.6553,0.3892,14,14.4,59,0.1345,4,14d2082d80407129
MLP,ICU,With Process,0.7389,0.808,0.464,0.3147,0.7346,0.4406,28,29.7,76,0.1345,4,14d2082d80407129
MLP,SW,No Process,0.7421,0.8073,0.8016,0.7305,0.6977,0.7137,27,5.4,59,0.4548,4,476006eb47fe7cf9
MLP,SW,With Process,0.7439,0.8094,0.8061,0.743,0.6791,0.7096,19,3.8,76,0.4548,4,476006eb47fe7cf9
