cohort,added_group,cumulative_AUROC,cumulative_AUPRC,AUROC_gain,n_features
ICU,demographics,0.519,0.1253,,27
ICU,clinical_core,0.7397,0.3216,0.2207,39
ICU,chronic_count,0.74,0.322,0.0003,40
ICU,charlson,0.7403,0.3224,0.0003,41
ICU,icd_chapters,0.7439,0.3254,0.0036,59
ICU,process,0.7792,0.384,0.0353,76
SW,demographics,0.6096,0.1461,,27
SW,clinical_core,0.7611,0.264,0.1515,39
SW,chronic_count,0.7636,0.2668,0.0025,40
SW,charlson,0.7623,0.2672,-0.0013,41
SW,icd_chapters,0.7634,0.2705,0.0011,59
SW,process,0.8781,0.4793,0.1147,76
