cohort,added_group,cumulative_AUROC,cumulative_AUPRC,AUROC_gain,n_features
ICU,demographics,0.5199,0.1593,,27
ICU,clinical_core,0.7476,0.4121,0.2277,39
ICU,chronic_count,0.7477,0.4122,0.0001,40
ICU,charlson,0.748,0.4125,0.0003,41
ICU,icd_chapters,0.7504,0.4162,0.0024,59
ICU,process,0.7926,0.5149,0.0422,76
SW,demographics,0.5797,0.1908,,27
SW,clinical_core,0.7043,0.2896,0.1246,39
SW,chronic_count,0.7062,0.292,0.0019,40
SW,charlson,0.7051,0.2924,-0.0011,41
SW,icd_chapters,0.7064,0.293,0.0013,59
SW,process,0.8577,0.5209,0.1513,76
