cohort,removed_group,AUROC,AUPRC,n_features,AUROC_drop
ICU,(none) FULL,0.7792,0.384,76,0.0
ICU,demographics,0.7794,0.3843,49,-0.0002
ICU,clinical_core,0.7089,0.2755,64,0.0703
ICU,icd_chapters,0.7735,0.3803,58,0.0057
ICU,charlson,0.7792,0.3841,75,0.0
ICU,chronic_count,0.7784,0.3836,75,0.0008
ICU,process,0.7439,0.3254,59,0.0353
SW,(none) FULL,0.8781,0.4793,76,0.0
SW,demographics,0.8782,0.4785,49,-0.0001
SW,clinical_core,0.8143,0.3302,64,0.0638
SW,icd_chapters,0.8765,0.4856,58,0.0016
SW,charlson,0.8781,0.4789,75,0.0
SW,chronic_count,0.8769,0.4817,75,0.0012
SW,process,0.7634,0.2705,59,0.1147
