cohort,feature,value,miss_rate,n_positives,reliable
SW,age_band,18-27,0.38095238095238093,21,True
SW,age_band,28-37,0.35714285714285715,28,True
SW,age_band,38-47,0.32558139534883723,43,True
SW,age_band,48-57,0.4523809523809524,42,True
SW,age_band,58-67,0.4142857142857143,70,True
SW,age_band,68-77,0.4883720930232558,43,True
SW,age_band,78-87,0.30952380952380953,42,True
SW,age_band,88+,0.21052631578947367,19,False
SW,gender,F,0.3404255319148936,141,True
SW,gender,M,0.41916167664670656,167,True
SW,insurance,Medicaid,0.4528301886792453,53,True
SW,insurance,Medicare,0.38333333333333336,120,True
SW,insurance,Other,0.45454545454545453,22,True
SW,insurance,Private,0.336283185840708,113,True
SW,admission_type,elective,0.38636363636363635,44,True
SW,admission_type,emergency,0.38257575757575757,264,True
SW,bmi_category,Normal,0.2786885245901639,61,True
SW,bmi_category,Obese,0.32608695652173914,92,True
SW,bmi_category,Overweight,0.5,66,True
SW,bmi_category,Underweight,1.0,1,False
SW,bmi_category,Unknown,0.42045454545454547,88,True
SW,ethnicity,ASIAN,0.46153846153846156,13,False
SW,ethnicity,BLACK,0.4634146341463415,41,True
SW,ethnicity,HISPANIC/LATINO,0.23809523809523808,21,True
SW,ethnicity,NATIVE,0.5,2,False
SW,ethnicity,OTHER,0.3333333333333333,9,False
SW,ethnicity,UNKNOWN,0.6875,16,False
SW,ethnicity,WHITE,0.35436893203883496,206,True
