cohort,feature,value,miss_rate,n_positives,reliable
SW,age_band,18-27,0.24390243902439024,82,True
SW,age_band,28-37,0.3055555555555556,72,True
SW,age_band,38-47,0.3252032520325203,123,True
SW,age_band,48-57,0.40993788819875776,161,True
SW,age_band,58-67,0.4072398190045249,221,True
SW,age_band,68-77,0.5056818181818182,176,True
SW,age_band,78-87,0.4605263157894737,152,True
SW,age_band,88+,0.28,50,True
SW,gender,F,0.36438923395445133,483,True
SW,gender,M,0.42418772563176893,554,True
SW,insurance,Medicaid,0.3657142857142857,175,True
SW,insurance,Medicare,0.4598698481561822,461,True
SW,insurance,Other,0.36666666666666664,60,True
SW,insurance,Private,0.3313782991202346,341,True
SW,admission_type,elective,0.478494623655914,186,True
SW,admission_type,emergency,0.3783783783783784,851,True
SW,bmi_category,Normal,0.32663316582914576,199,True
SW,bmi_category,Obese,0.3473282442748092,262,True
SW,bmi_category,Overweight,0.4520547945205479,219,True
SW,bmi_category,Underweight,0.5263157894736842,19,False
SW,bmi_category,Unknown,0.4319526627218935,338,True
SW,ethnicity,ASIAN,0.3125,32,True
SW,ethnicity,BLACK,0.4580152671755725,131,True
SW,ethnicity,HISPANIC/LATINO,0.4,55,True
SW,ethnicity,NATIVE,0.5,4,False
SW,ethnicity,OTHER,0.2647058823529412,34,True
SW,ethnicity,UNKNOWN,0.4647887323943662,71,True
SW,ethnicity,WHITE,0.3873239436619718,710,True
