cohort,feature,value,miss_rate,n_positives,reliable
ICU,age_band,18-27,0.6612903225806451,62,True
ICU,age_band,28-37,0.6067415730337079,89,True
ICU,age_band,38-47,0.47058823529411764,153,True
ICU,age_band,48-57,0.46865671641791046,335,True
ICU,age_band,58-67,0.4207547169811321,530,True
ICU,age_band,68-77,0.4451901565995526,447,True
ICU,age_band,78-87,0.4389438943894389,303,True
ICU,age_band,88+,0.5393258426966292,89,True
ICU,gender,F,0.47902869757174393,906,True
ICU,gender,M,0.4473684210526316,1102,True
ICU,insurance,Medicaid,0.4921135646687697,317,True
ICU,insurance,Medicare,0.42686292548298066,1087,True
ICU,insurance,Other,0.5393258426966292,89,True
ICU,insurance,Private,0.5029126213592233,515,True
ICU,admission_type,elective,0.6,150,True
ICU,admission_type,emergency,0.4504843918191604,1858,True
ICU,bmi_category,Normal,0.43646408839779005,362,True
ICU,bmi_category,Obese,0.43209876543209874,405,True
ICU,bmi_category,Overweight,0.46111111111111114,360,True
ICU,bmi_category,Underweight,0.5294117647058824,51,True
ICU,bmi_category,Unknown,0.4831325301204819,830,True
ICU,ethnicity,ASIAN,0.44680851063829785,47,True
ICU,ethnicity,BLACK,0.4690265486725664,226,True
ICU,ethnicity,HISPANIC/LATINO,0.5161290322580645,93,True
ICU,ethnicity,MULTIPLE,0.5,2,False
ICU,ethnicity,NATIVE,0.3333333333333333,6,False
ICU,ethnicity,OTHER,0.5483870967741935,62,True
ICU,ethnicity,UNKNOWN,0.44976076555023925,209,True
ICU,ethnicity,WHITE,0.4556126192223037,1363,True
SW,age_band,18-27,0.6153846153846154,52,True
SW,age_band,28-37,0.7017543859649122,57,True
SW,age_band,38-47,0.591304347826087,115,True
SW,age_band,48-57,0.3776595744680851,188,True
SW,age_band,58-67,0.42138364779874216,318,True
SW,age_band,68-77,0.3161512027491409,291,True
SW,age_band,78-87,0.36082474226804123,194,True
SW,age_band,88+,0.4,50,True
SW,gender,F,0.42395437262357416,526,True
SW,gender,M,0.41136671177266576,739,True
SW,insurance,Medicaid,0.5272727272727272,165,True
SW,insurance,Medicare,0.38449367088607594,632,True
SW,insurance,Other,0.609375,64,True
SW,insurance,Private,0.3910891089108911,404,True
SW,admission_type,elective,0.26804123711340205,291,True
SW,admission_type,emergency,0.46098562628336753,974,True
SW,bmi_category,Normal,0.5203619909502263,221,True
SW,bmi_category,Obese,0.38699690402476783,323,True
SW,bmi_category,Overweight,0.48148148148148145,243,True
SW,bmi_category,Underweight,0.47058823529411764,17,False
SW,bmi_category,Unknown,0.351409978308026,461,True
SW,ethnicity,ASIAN,0.6333333333333333,30,True
SW,ethnicity,BLACK,0.6509433962264151,106,True
SW,ethnicity,HISPANIC/LATINO,0.5263157894736842,57,True
SW,ethnicity,NATIVE,1.0,3,False
SW,ethnicity,OTHER,0.5277777777777778,36,True
SW,ethnicity,UNKNOWN,0.25396825396825395,126,True
SW,ethnicity,WHITE,0.3914002205071665,907,True
