cohort,feature,value,miss_rate,n_positives,reliable
ICU,age_band,18-27,0.5061728395061729,81,True
ICU,age_band,28-37,0.4496124031007752,129,True
ICU,age_band,38-47,0.40476190476190477,210,True
ICU,age_band,48-57,0.40420560747663553,428,True
ICU,age_band,58-67,0.39076923076923076,650,True
ICU,age_band,68-77,0.38648180242634317,577,True
ICU,age_band,78-87,0.4166666666666667,384,True
ICU,age_band,88+,0.5480769230769231,104,True
ICU,gender,F,0.4278169014084507,1136,True
ICU,gender,M,0.3959355290819902,1427,True
ICU,insurance,Medicaid,0.42289719626168226,428,True
ICU,insurance,Medicare,0.3892171344165436,1354,True
ICU,insurance,Other,0.5350877192982456,114,True
ICU,insurance,Private,0.42278860569715143,667,True
ICU,admission_type,elective,0.4855769230769231,208,True
ICU,admission_type,emergency,0.4033970276008493,2355,True
ICU,bmi_category,Normal,0.3700440528634361,454,True
ICU,bmi_category,Obese,0.41513292433537835,489,True
ICU,bmi_category,Overweight,0.40625,448,True
ICU,bmi_category,Underweight,0.4603174603174603,63,True
ICU,bmi_category,Unknown,0.42290351668169524,1109,True
ICU,ethnicity,ASIAN,0.4393939393939394,66,True
ICU,ethnicity,BLACK,0.4306049822064057,281,True
ICU,ethnicity,HISPANIC/LATINO,0.4051724137931034,116,True
ICU,ethnicity,MULTIPLE,0.5,2,False
ICU,ethnicity,NATIVE,0.42857142857142855,7,False
ICU,ethnicity,OTHER,0.48717948717948717,78,True
ICU,ethnicity,UNKNOWN,0.36610169491525424,295,True
ICU,ethnicity,WHITE,0.409778812572759,1718,True
SW,age_band,18-27,0.3047619047619048,105,True
SW,age_band,28-37,0.3225806451612903,93,True
SW,age_band,38-47,0.3422459893048128,187,True
SW,age_band,48-57,0.24305555555555555,288,True
SW,age_band,58-67,0.28211009174311924,436,True
SW,age_band,68-77,0.23115577889447236,398,True
SW,age_band,78-87,0.25263157894736843,285,True
SW,age_band,88+,0.2465753424657534,73,True
SW,gender,F,0.2687116564417178,815,True
SW,gender,M,0.26857142857142857,1050,True
SW,insurance,Medicaid,0.3358208955223881,268,True
SW,insurance,Medicare,0.26057906458797325,898,True
SW,insurance,Other,0.3473684210526316,95,True
SW,insurance,Private,0.23841059602649006,604,True
SW,admission_type,elective,0.20924574209245742,411,True
SW,admission_type,emergency,0.28541953232462175,1454,True
SW,bmi_category,Normal,0.28402366863905326,338,True
SW,bmi_category,Obese,0.2575107296137339,466,True
SW,bmi_category,Overweight,0.30851063829787234,376,True
SW,bmi_category,Underweight,0.3225806451612903,31,True
SW,bmi_category,Unknown,0.24311926605504589,654,True
SW,ethnicity,ASIAN,0.3673469387755102,49,True
SW,ethnicity,BLACK,0.41847826086956524,184,True
SW,ethnicity,HISPANIC/LATINO,0.30952380952380953,84,True
SW,ethnicity,NATIVE,0.6,5,False
SW,ethnicity,OTHER,0.26666666666666666,60,True
SW,ethnicity,UNKNOWN,0.19161676646706588,167,True
SW,ethnicity,WHITE,0.25,1316,True
