cohort,feature,value,miss_rate,n_positives,reliable
ICU,age_band,18-27,0.6363636363636364,55,True
ICU,age_band,28-37,0.6022727272727273,88,True
ICU,age_band,38-47,0.5263157894736842,152,True
ICU,age_band,48-57,0.4542857142857143,350,True
ICU,age_band,58-67,0.47115384615384615,520,True
ICU,age_band,68-77,0.44469525959367945,443,True
ICU,age_band,78-87,0.4742857142857143,350,True
ICU,age_band,88+,0.5858585858585859,99,True
ICU,gender,F,0.4892008639308855,926,True
ICU,gender,M,0.47745358090185674,1131,True
ICU,insurance,Medicaid,0.44761904761904764,315,True
ICU,insurance,Medicare,0.463768115942029,1173,True
ICU,insurance,Other,0.5138888888888888,72,True
ICU,insurance,Private,0.545271629778672,497,True
ICU,admission_type,elective,0.7257142857142858,175,True
ICU,admission_type,emergency,0.46014877789585545,1882,True
ICU,bmi_category,Normal,0.4659400544959128,367,True
ICU,bmi_category,Obese,0.46882217090069284,433,True
ICU,bmi_category,Overweight,0.5146666666666667,375,True
ICU,bmi_category,Underweight,0.4603174603174603,63,True
ICU,bmi_category,Unknown,0.48473748473748474,819,True
ICU,ethnicity,ASIAN,0.5476190476190477,84,True
ICU,ethnicity,BLACK,0.4533333333333333,225,True
ICU,ethnicity,HISPANIC/LATINO,0.6057692307692307,104,True
ICU,ethnicity,MULTIPLE,1.0,3,False
ICU,ethnicity,NATIVE,0.5,12,False
ICU,ethnicity,OTHER,0.46153846153846156,65,True
ICU,ethnicity,UNKNOWN,0.42272727272727273,220,True
ICU,ethnicity,WHITE,0.4836309523809524,1344,True
SW,age_band,18-27,0.18867924528301888,53,True
SW,age_band,28-37,0.22727272727272727,44,True
SW,age_band,38-47,0.3111111111111111,90,True
SW,age_band,48-57,0.235,200,True
SW,age_band,58-67,0.22929936305732485,314,True
SW,age_band,68-77,0.22429906542056074,321,True
SW,age_band,78-87,0.2903225806451613,217,True
SW,age_band,88+,0.3333333333333333,51,True
SW,gender,F,0.2745762711864407,590,True
SW,gender,M,0.22428571428571428,700,True
SW,insurance,Medicaid,0.275,160,True
SW,insurance,Medicare,0.27419354838709675,682,True
SW,insurance,Other,0.09259259259259259,54,True
SW,insurance,Private,0.21065989847715735,394,True
SW,admission_type,elective,0.0036363636363636364,275,True
SW,admission_type,emergency,0.3133004926108374,1015,True
SW,bmi_category,Normal,0.2619047619047619,210,True
SW,bmi_category,Obese,0.28431372549019607,306,True
SW,bmi_category,Overweight,0.23137254901960785,255,True
SW,bmi_category,Underweight,0.36363636363636365,22,True
SW,bmi_category,Unknown,0.22132796780684105,497,True
SW,ethnicity,ASIAN,0.2894736842105263,38,True
SW,ethnicity,BLACK,0.40217391304347827,92,True
SW,ethnicity,HISPANIC/LATINO,0.16666666666666666,54,True
SW,ethnicity,MULTIPLE,0.3333333333333333,3,False
SW,ethnicity,NATIVE,0.0,2,False
SW,ethnicity,OTHER,0.2916666666666667,48,True
SW,ethnicity,UNKNOWN,0.06306306306306306,111,True
SW,ethnicity,WHITE,0.25477707006369427,942,True
