cohort,feature,FN_mean,TP_mean,abs_diff,rel_diff_pct
SW,accumulated_duration_hrs,57.041,8.623,48.417,561.5
SW,sw_duration_hrs,29.996,0.579,29.417,5080.5
SW,icu_duration_hrs,10.411,0.0,10.411,1041.1
SW,num_medications,30.034,20.384,9.65,47.3
SW,pct_abnormal_labs,30.095,25.175,4.92,19.5
SW,chronic_disease_count,6.288,4.232,2.057,48.6
SW,icd_ch7_circulatory,2.008,1.211,0.798,65.9
SW,charlson_score,2.059,1.263,0.796,63.0
SW,icd_ch18_supplementary,2.949,2.3,0.649,28.2
SW,uhr_count,1.0,0.416,0.584,140.5
SW,icd_ch3_endocrine,1.542,1.021,0.521,51.1
SW,icd_ch9_digestive,1.093,0.658,0.435,66.2
SW,total_events,2.5,2.105,0.395,18.8
SW,icd_ch8_respiratory,0.602,0.3,0.302,100.6
SW,icd_ch4_blood,0.568,0.274,0.294,107.5
SW,icd_ch10_genitourinary,0.678,0.405,0.273,67.3
SW,icd_ch16_symptoms,0.712,0.495,0.217,43.9
SW,icd_ch1_infectious,0.373,0.211,0.162,77.1
SW,num_icu_stays,0.144,0.0,0.144,14.4
SW,icd_ch5_mental,0.627,0.511,0.117,22.8
SW,icd_ch2_neoplasms,0.339,0.253,0.086,34.2
SW,icd_ch12_skin,0.186,0.105,0.081,77.1
SW,ed_admission,0.771,0.842,-0.071,-8.4
SW,icd_ch6_nervous,0.475,0.405,0.069,17.1
SW,icd_ch14_congenital,0.068,0.005,0.063,1188.1
SW,icd_ch13_musculoskeletal,0.449,0.5,-0.051,-10.2
SW,icd_ch11_pregnancy,0.059,0.011,0.049,463.6
SW,icd_ch17_injury,0.737,0.774,-0.036,-4.7
SW,polypharmacy,0.983,0.995,-0.012,-1.2
SW,num_sw_stays,1.0,1.0,0.0,0.0
SW,icd_ch15_perinatal,0.0,0.0,0.0,0.0
