cohort,feature,FN_mean,TP_mean,abs_diff,rel_diff_pct
SW,accumulated_duration_hrs,96.523,15.498,81.025,522.8
SW,sw_duration_hrs,48.122,1.276,46.846,3670.8
SW,icu_duration_hrs,25.765,4.908,20.858,425.0
SW,num_medications,39.073,24.2,14.873,61.5
SW,pct_abnormal_labs,32.282,27.47,4.812,17.5
SW,chronic_disease_count,7.095,4.657,2.438,52.4
SW,icd_ch7_circulatory,2.418,1.329,1.089,82.0
SW,icd_ch18_supplementary,3.221,2.299,0.923,40.1
SW,charlson_score,2.156,1.334,0.822,61.6
SW,icd_ch3_endocrine,1.825,1.11,0.715,64.4
SW,total_events,2.745,2.259,0.486,21.5
SW,icd_ch16_symptoms,0.988,0.518,0.47,90.9
SW,icd_ch9_digestive,1.29,0.837,0.452,54.1
SW,icd_ch8_respiratory,0.818,0.403,0.415,103.1
SW,icd_ch10_genitourinary,0.745,0.458,0.286,62.4
SW,num_icu_stays,0.38,0.099,0.281,283.2
SW,icd_ch1_infectious,0.467,0.219,0.248,113.5
SW,uhr_count,0.759,0.518,0.242,46.7
SW,icd_ch4_blood,0.569,0.331,0.239,72.2
SW,icd_ch6_nervous,0.603,0.431,0.172,39.9
SW,ed_admission,0.642,0.813,-0.171,-21.0
SW,icd_ch13_musculoskeletal,0.625,0.474,0.151,31.8
SW,icd_ch5_mental,0.803,0.655,0.148,22.6
SW,icd_ch12_skin,0.241,0.152,0.089,58.7
SW,icd_ch2_neoplasms,0.29,0.211,0.079,37.3
SW,icd_ch17_injury,1.127,1.072,0.055,5.1
SW,icd_ch14_congenital,0.063,0.024,0.039,164.0
SW,icd_ch11_pregnancy,0.017,0.03,-0.013,-43.9
SW,polypharmacy,0.998,0.994,0.004,0.4
SW,num_sw_stays,1.0,1.0,0.0,0.0
SW,icd_ch15_perinatal,0.0,0.0,0.0,0.0
