cohort,feature,FN_mean,TP_mean,abs_diff,rel_diff_pct
SW,accumulated_duration_hrs,111.326,20.047,91.279,455.3
SW,sw_duration_hrs,63.933,2.89,61.043,2112.5
SW,icu_duration_hrs,25.047,6.619,18.429,278.4
SW,num_medications,38.029,26.831,11.198,41.7
SW,pct_abnormal_labs,32.044,28.214,3.83,13.6
SW,chronic_disease_count,6.879,4.93,1.949,39.5
SW,icd_ch7_circulatory,2.345,1.462,0.883,60.4
SW,charlson_score,2.146,1.402,0.743,53.0
SW,icd_ch18_supplementary,3.148,2.461,0.688,27.9
SW,icd_ch3_endocrine,1.743,1.192,0.551,46.2
SW,total_events,2.694,2.286,0.409,17.9
SW,icd_ch9_digestive,1.318,0.922,0.396,42.9
SW,uhr_count,0.828,0.514,0.314,61.0
SW,icd_ch16_symptoms,0.922,0.61,0.312,51.2
SW,icd_ch8_respiratory,0.777,0.47,0.306,65.2
SW,num_icu_stays,0.374,0.115,0.258,223.8
SW,icd_ch17_injury,1.005,1.203,-0.198,-16.5
SW,icd_ch10_genitourinary,0.684,0.492,0.192,39.1
SW,icd_ch4_blood,0.558,0.377,0.182,48.2
SW,ed_admission,0.641,0.793,-0.153,-19.2
SW,icd_ch1_infectious,0.417,0.27,0.148,54.8
SW,icd_ch6_nervous,0.575,0.456,0.12,26.2
SW,icd_ch5_mental,0.767,0.651,0.116,17.8
SW,icd_ch13_musculoskeletal,0.614,0.526,0.088,16.7
SW,icd_ch2_neoplasms,0.299,0.213,0.086,40.4
SW,icd_ch12_skin,0.238,0.175,0.063,35.9
SW,icd_ch14_congenital,0.061,0.033,0.028,85.0
SW,polypharmacy,1.0,0.993,0.007,0.7
SW,icd_ch11_pregnancy,0.024,0.027,-0.002,-9.2
SW,num_sw_stays,1.0,1.0,0.0,0.0
SW,icd_ch15_perinatal,0.0,0.0,0.0,0.0
