cohort,feature,FN_mean,TP_mean,abs_diff,rel_diff_pct
ICU,num_medications,43.078,68.879,-25.801,-37.5
ICU,icu_duration_hrs,63.411,54.033,9.378,17.4
ICU,pct_abnormal_labs,34.803,41.609,-6.806,-16.4
ICU,accumulated_duration_hrs,91.366,94.4,-3.034,-3.2
ICU,chronic_disease_count,8.398,10.987,-2.589,-23.6
ICU,sw_duration_hrs,4.051,2.418,1.633,67.6
ICU,icd_ch3_endocrine,2.061,3.236,-1.174,-36.3
ICU,icd_ch18_supplementary,3.225,4.323,-1.097,-25.4
ICU,charlson_score,2.875,3.929,-1.054,-26.8
ICU,icd_ch7_circulatory,3.347,4.366,-1.019,-23.3
ICU,icd_ch9_digestive,1.061,2.048,-0.987,-48.2
ICU,icd_ch8_respiratory,1.159,2.128,-0.969,-45.5
ICU,icd_ch16_symptoms,1.293,1.965,-0.671,-34.2
ICU,icd_ch4_blood,0.863,1.507,-0.644,-42.7
ICU,icd_ch1_infectious,0.464,1.058,-0.594,-56.2
ICU,icd_ch10_genitourinary,0.84,1.385,-0.544,-39.3
ICU,icd_ch12_skin,0.214,0.365,-0.152,-41.5
ICU,icd_ch17_injury,1.068,1.191,-0.124,-10.4
ICU,icd_ch5_mental,0.805,0.907,-0.102,-11.2
ICU,icd_ch13_musculoskeletal,0.453,0.538,-0.085,-15.8
ICU,icd_ch6_nervous,0.945,1.023,-0.078,-7.6
ICU,total_events,2.475,2.42,0.055,2.3
ICU,num_sw_stays,0.095,0.055,0.04,73.9
ICU,icd_ch11_pregnancy,0.059,0.032,0.027,83.2
ICU,uhr_count,1.126,1.149,-0.023,-2.0
ICU,icd_ch2_neoplasms,0.43,0.407,0.023,5.7
ICU,polypharmacy,0.994,1.0,-0.006,-0.6
ICU,icd_ch14_congenital,0.053,0.048,0.005,9.9
ICU,ed_admission,0.71,0.706,0.004,0.6
ICU,num_icu_stays,1.0,1.0,0.0,0.0
ICU,icd_ch15_perinatal,0.0,0.0,0.0,0.0
SW,accumulated_duration_hrs,89.616,34.909,54.707,156.7
SW,icu_duration_hrs,30.079,1.755,28.324,1614.1
SW,sw_duration_hrs,40.997,28.758,12.239,42.6
SW,num_medications,36.913,46.87,-9.957,-21.2
SW,total_events,2.738,1.526,1.212,79.5
SW,icd_ch7_circulatory,2.254,3.282,-1.028,-31.3
SW,uhr_count,0.759,0.168,0.591,351.7
SW,icd_ch9_digestive,1.288,0.751,0.538,71.6
SW,ed_admission,0.75,0.293,0.457,156.1
SW,chronic_disease_count,6.564,6.947,-0.384,-5.5
SW,num_icu_stays,0.393,0.041,0.352,866.3
SW,icd_ch17_injury,1.228,0.893,0.335,37.5
SW,charlson_score,2.057,1.759,0.298,17.0
SW,icd_ch5_mental,0.757,0.489,0.268,54.8
SW,icd_ch16_symptoms,0.843,0.581,0.261,44.9
SW,icd_ch10_genitourinary,0.706,0.515,0.191,37.1
SW,icd_ch1_infectious,0.397,0.274,0.123,44.9
SW,icd_ch8_respiratory,0.757,0.636,0.122,19.1
SW,icd_ch2_neoplasms,0.281,0.167,0.114,68.5
SW,icd_ch6_nervous,0.562,0.462,0.1,21.6
SW,icd_ch18_supplementary,3.046,2.949,0.097,3.3
SW,icd_ch4_blood,0.636,0.549,0.087,15.8
SW,icd_ch12_skin,0.199,0.114,0.085,75.0
SW,icd_ch13_musculoskeletal,0.573,0.496,0.077,15.6
SW,icd_ch3_endocrine,1.657,1.611,0.045,2.8
SW,icd_ch11_pregnancy,0.025,0.003,0.022,810.2
SW,polypharmacy,0.992,1.0,-0.008,-0.8
SW,icd_ch14_congenital,0.072,0.08,-0.008,-9.8
SW,pct_abnormal_labs,31.689,31.69,-0.001,-0.0
SW,num_sw_stays,1.0,1.0,0.0,0.0
SW,icd_ch15_perinatal,0.0,0.0,0.0,0.0
