cohort,feature,FN_mean,TP_mean,abs_diff,rel_diff_pct
ICU,num_medications,43.645,66.534,-22.889,-34.4
ICU,icu_duration_hrs,68.118,45.913,22.205,48.4
ICU,accumulated_duration_hrs,98.915,79.953,18.962,23.7
ICU,pct_abnormal_labs,34.961,40.763,-5.802,-14.2
ICU,chronic_disease_count,8.441,10.519,-2.078,-19.8
ICU,sw_duration_hrs,3.922,2.641,1.282,48.5
ICU,icd_ch18_supplementary,3.205,4.175,-0.97,-23.2
ICU,icd_ch3_endocrine,2.12,3.065,-0.945,-30.8
ICU,icd_ch8_respiratory,1.191,2.034,-0.843,-41.4
ICU,icd_ch7_circulatory,3.398,4.241,-0.843,-19.9
ICU,charlson_score,2.93,3.696,-0.766,-20.7
ICU,icd_ch9_digestive,1.106,1.843,-0.738,-40.0
ICU,icd_ch4_blood,0.867,1.418,-0.551,-38.9
ICU,icd_ch16_symptoms,1.333,1.862,-0.529,-28.4
ICU,icd_ch1_infectious,0.485,0.979,-0.494,-50.5
ICU,icd_ch10_genitourinary,0.881,1.288,-0.407,-31.6
ICU,icd_ch17_injury,0.99,1.205,-0.215,-17.9
ICU,icd_ch12_skin,0.202,0.363,-0.161,-44.4
ICU,icd_ch5_mental,0.779,0.91,-0.131,-14.4
ICU,total_events,2.501,2.378,0.123,5.2
ICU,icd_ch6_nervous,0.912,1.019,-0.107,-10.5
ICU,uhr_count,1.002,1.098,-0.096,-8.7
ICU,icd_ch2_neoplasms,0.455,0.36,0.094,26.2
ICU,icd_ch13_musculoskeletal,0.431,0.503,-0.072,-14.4
ICU,num_sw_stays,0.097,0.054,0.043,79.0
ICU,polypharmacy,0.991,1.0,-0.009,-0.9
ICU,icd_ch11_pregnancy,0.054,0.046,0.009,18.8
ICU,icd_ch14_congenital,0.053,0.044,0.009,20.2
ICU,ed_admission,0.695,0.689,0.005,0.8
ICU,icd_ch15_perinatal,0.0,0.001,-0.001,-100.0
ICU,num_icu_stays,1.0,1.0,0.0,0.0
SW,accumulated_duration_hrs,114.779,33.103,81.675,246.7
SW,sw_duration_hrs,60.883,18.498,42.385,229.1
SW,icu_duration_hrs,28.709,6.925,21.784,314.6
SW,num_medications,36.443,39.146,-2.703,-6.9
SW,pct_abnormal_labs,31.902,30.529,1.373,4.5
SW,total_events,2.912,1.91,1.002,52.5
SW,uhr_count,1.02,0.309,0.711,229.7
SW,chronic_disease_count,6.858,6.288,0.57,9.1
SW,icd_ch9_digestive,1.285,0.882,0.403,45.7
SW,charlson_score,2.094,1.71,0.383,22.4
SW,icd_ch16_symptoms,0.908,0.611,0.297,48.5
SW,num_icu_stays,0.401,0.121,0.28,231.7
SW,icd_ch7_circulatory,2.325,2.595,-0.269,-10.4
SW,icd_ch18_supplementary,3.028,2.795,0.233,8.3
SW,ed_admission,0.725,0.497,0.227,45.8
SW,icd_ch3_endocrine,1.691,1.5,0.191,12.7
SW,icd_ch10_genitourinary,0.723,0.537,0.185,34.5
SW,icd_ch5_mental,0.768,0.592,0.176,29.7
SW,icd_ch4_blood,0.643,0.488,0.155,31.8
SW,icd_ch6_nervous,0.603,0.471,0.132,28.1
SW,icd_ch1_infectious,0.409,0.287,0.123,42.7
SW,icd_ch8_respiratory,0.697,0.601,0.095,15.9
SW,icd_ch2_neoplasms,0.289,0.195,0.094,48.4
SW,icd_ch13_musculoskeletal,0.587,0.5,0.087,17.4
SW,icd_ch12_skin,0.226,0.152,0.073,47.9
SW,icd_ch17_injury,1.02,0.962,0.058,6.0
SW,icd_ch14_congenital,0.068,0.061,0.007,11.5
SW,icd_ch11_pregnancy,0.02,0.016,0.004,23.8
SW,polypharmacy,0.994,0.998,-0.004,-0.4
SW,num_sw_stays,1.0,1.0,0.0,0.0
SW,icd_ch15_perinatal,0.0,0.0,0.0,0.0
