cohort,feature,FN_mean,TP_mean,abs_diff,rel_diff_pct
ICU,num_medications,43.441,68.738,-25.297,-36.8
ICU,accumulated_duration_hrs,90.789,108.007,-17.218,-15.9
ICU,pct_abnormal_labs,34.995,41.68,-6.685,-16.0
ICU,icu_duration_hrs,54.71,59.741,-5.032,-8.4
ICU,sw_duration_hrs,4.712,1.741,2.971,170.6
ICU,chronic_disease_count,8.668,11.093,-2.425,-21.9
ICU,icd_ch3_endocrine,2.101,3.279,-1.178,-35.9
ICU,icd_ch8_respiratory,1.17,2.221,-1.051,-47.3
ICU,icd_ch18_supplementary,3.308,4.321,-1.013,-23.4
ICU,icd_ch7_circulatory,3.479,4.409,-0.929,-21.1
ICU,charlson_score,2.843,3.763,-0.92,-24.5
ICU,icd_ch9_digestive,1.161,2.047,-0.886,-43.3
ICU,icd_ch1_infectious,0.438,1.054,-0.616,-58.4
ICU,icd_ch16_symptoms,1.398,1.945,-0.547,-28.1
ICU,icd_ch4_blood,0.946,1.432,-0.487,-34.0
ICU,icd_ch10_genitourinary,0.934,1.389,-0.456,-32.8
ICU,icd_ch17_injury,1.04,1.261,-0.221,-17.5
ICU,icd_ch12_skin,0.191,0.396,-0.204,-51.6
ICU,total_events,2.556,2.392,0.164,6.9
ICU,icd_ch6_nervous,0.952,1.078,-0.126,-11.7
ICU,icd_ch5_mental,0.811,0.914,-0.103,-11.3
ICU,num_sw_stays,0.107,0.041,0.065,158.1
ICU,uhr_count,0.965,1.021,-0.056,-5.5
ICU,ed_admission,0.678,0.716,-0.038,-5.4
ICU,icd_ch2_neoplasms,0.413,0.381,0.032,8.5
ICU,icd_ch11_pregnancy,0.038,0.013,0.025,190.8
ICU,icd_ch13_musculoskeletal,0.499,0.52,-0.02,-3.9
ICU,icd_ch14_congenital,0.062,0.053,0.01,18.6
ICU,polypharmacy,0.989,0.999,-0.01,-1.0
ICU,num_icu_stays,1.0,1.0,0.0,0.0
ICU,icd_ch15_perinatal,0.0,0.0,0.0,0.0
SW,num_medications,35.125,46.056,-10.93,-23.7
SW,accumulated_duration_hrs,65.998,60.417,5.58,9.2
SW,sw_duration_hrs,30.333,35.033,-4.7,-13.4
SW,icu_duration_hrs,13.598,15.642,-2.044,-13.1
SW,chronic_disease_count,8.238,6.442,1.796,27.9
SW,pct_abnormal_labs,32.875,31.281,1.594,5.1
SW,charlson_score,3.072,1.552,1.52,97.9
SW,icd_ch18_supplementary,3.708,2.823,0.886,31.4
SW,uhr_count,1.06,0.203,0.857,422.3
SW,icd_ch3_endocrine,2.27,1.47,0.8,54.4
SW,total_events,2.545,1.891,0.655,34.6
SW,icd_ch16_symptoms,1.194,0.585,0.609,104.2
SW,icd_ch9_digestive,1.395,0.796,0.599,75.2
SW,ed_admission,0.922,0.361,0.56,155.0
SW,icd_ch10_genitourinary,0.975,0.477,0.498,104.5
SW,icd_ch6_nervous,0.862,0.425,0.437,102.7
SW,icd_ch1_infectious,0.586,0.234,0.352,150.8
SW,icd_ch2_neoplasms,0.436,0.126,0.31,246.8
SW,icd_ch17_injury,0.793,1.079,-0.286,-26.5
SW,icd_ch8_respiratory,0.878,0.63,0.247,39.3
SW,icd_ch4_blood,0.777,0.531,0.246,46.3
SW,icd_ch7_circulatory,2.768,3.011,-0.243,-8.1
SW,icd_ch5_mental,0.787,0.545,0.242,44.4
SW,icd_ch13_musculoskeletal,0.602,0.476,0.126,26.5
SW,icd_ch12_skin,0.21,0.108,0.102,94.2
SW,num_icu_stays,0.157,0.199,-0.042,-21.1
SW,icd_ch11_pregnancy,0.0,0.042,-0.042,-100.0
SW,icd_ch14_congenital,0.038,0.079,-0.042,-52.6
SW,polypharmacy,0.975,1.0,-0.025,-2.5
SW,num_sw_stays,1.0,1.0,0.0,0.0
SW,icd_ch15_perinatal,0.0,0.0,0.0,0.0
