,SW_FN,SW_FP,SW_TN,SW_TP
uhr_count,0.8276699029126213,0.6753709198813056,0.5604259769896358,0.5139732685297691
ed_admission,0.6407766990291263,0.8427299703264095,0.643149187030522,0.7934386391251519
pct_abnormal_labs,32.04410194174757,28.201305637982195,27.25418940762575,28.214471445929526
num_medications,38.029126213592235,25.479525222551928,26.848150613292763,26.831105710814096
polypharmacy,1.0,0.9887240356083086,0.9892554911096321,0.9927095990279465
chronic_disease_count,6.878640776699029,5.353709198813056,5.434439478938861,4.929526123936816
charlson_score,2.145631067961165,1.570919881305638,1.5573832842065227,1.402187120291616
accumulated_duration_hrs,111.32600525889967,20.20141213320145,111.850480491902,20.04705515053328
icu_duration_hrs,25.047494606256745,6.633634190570392,16.022653243954235,6.618867962737951
sw_duration_hrs,63.93273867313916,3.228488295417079,75.6260762997475,2.8895649385716213
num_icu_stays,0.3737864077669903,0.12403560830860534,0.26157649519825044,0.11543134872417983
num_sw_stays,1.0,1.0,1.0,1.0
total_events,2.6941747572815533,2.305044510385757,2.5700294760863365,2.285540704738761
icd_ch1_infectious,0.4174757281553398,0.29851632047477744,0.20966054958638394,0.26974483596597815
icd_ch2_neoplasms,0.29854368932038833,0.1970326409495549,0.22611010744508891,0.212636695018226
icd_ch3_endocrine,1.7427184466019416,1.2801186943620178,1.2893410668441572,1.1919805589307413
icd_ch4_blood,0.558252427184466,0.4391691394658754,0.3852809736616906,0.37667071688942894
icd_ch5_mental,0.7669902912621359,0.6741839762611276,0.5818199106208995,0.6512758201701093
icd_ch6_nervous,0.5752427184466019,0.5210682492581602,0.46667300560996483,0.4556500607533414
icd_ch7_circulatory,2.3446601941747574,1.686053412462908,1.7786441000285254,1.4617253948967193
icd_ch8_respiratory,0.7766990291262136,0.5216617210682493,0.4221736236569364,0.47023086269744835
icd_ch9_digestive,1.3179611650485437,0.8451038575667655,0.8499572121327374,0.9222357229647631
icd_ch10_genitourinary,0.6844660194174758,0.49970326409495547,0.4504136160502044,0.49210206561360875
icd_ch11_pregnancy,0.024271844660194174,0.032047477744807124,0.02329561662070933,0.026731470230862697
icd_ch12_skin,0.23786407766990292,0.17091988130563798,0.1294095274317771,0.17496962332928312
icd_ch13_musculoskeletal,0.6140776699029126,0.5270029673590505,0.5677474564990016,0.5261239368165249
icd_ch14_congenital,0.06067961165048544,0.032047477744807124,0.03822382808785776,0.032806804374240585
icd_ch15_perinatal,0.0,0.0,0.0,0.0
icd_ch16_symptoms,0.9223300970873787,0.7044510385756677,0.5875249595892365,0.6099635479951397
icd_ch17_injury,1.0048543689320388,0.9863501483679525,0.8051725777312921,1.2029161603888214
icd_ch18_supplementary,3.1480582524271843,2.516913946587537,2.4722829704288296,2.4605103280680436
