Setting,Model,Cohort,Vocab,AUROC,AUPRC,F1,Prec,Rec,secs
A,LR,ICU,368,0.8242,0.5151,0.4845,0.3647,0.7215,7.6
A,RF,ICU,368,0.8422,0.536,0.2359,0.7701,0.1393,15.2
A,LR,SW,357,0.9302,0.6827,0.5572,0.3912,0.9676,6.9
A,RF,SW,357,0.9403,0.7313,0.5622,0.8002,0.4334,11.3
B,LR,ICU,290,0.7877,0.4912,0.4586,0.3494,0.6669,3.3
B,RF,ICU,290,0.8235,0.4865,0.1608,0.713,0.0906,19.8
B,LR,SW,277,0.869,0.5641,0.5479,0.4373,0.7334,5.6
B,RF,SW,277,0.8953,0.6455,0.4319,0.819,0.2933,11.2
C,LR,ICU,295,0.7881,0.4914,0.4587,0.3496,0.6669,3.1
C,RF,ICU,295,0.823,0.4738,0.1534,0.7157,0.0859,13.3
C,LR,SW,283,0.8693,0.5638,0.5473,0.4368,0.7329,4.1
C,RF,SW,283,0.8944,0.6392,0.4334,0.8219,0.2943,9.2
